Grupo,Frase,Tipo
551,LEFT ENGINE IS MISSING BAFFLE BOLT FROM #3 CYLINDER.,orig
556,#2 ROCKER ARM COVER LEAKING.,orig
558,"#3 CYLINDER BAFFLING ON LEFT ENGINE, CRACKED ON AFT SIDE.",orig
569,"BAFFLE CRACKED PAST STOP DRILL, #4 CYLINDER.",orig
597,LEFT REAR ENGINE BAFFLE ACCESS HOLE WORN.,orig
598,"OIL PRESENT ON ENGINE, RIGHT SIDE. OIL SPRAYED BELOW & AFT.",orig
599,"ON TAXI, ENGINE RAN ROUGH FROM 800 TO 1400 RPM. LEANING MIXTURE",orig
614,#2 CYLINDER HEAD TEMPERATURE FITTING NEEDS TO BE REPLACED.,orig
621,EXHAUST GAS TEMPERATURE /CYLINDER HEAD TEMPERATURE WIRE BUNDLE MOUNTING SCREW & IGNITION LEAD/OIL COOLER MOU,orig
622,"BAFFLE SCREW HAS OVERSIZED WASHER, WHICH IS CHAFING #3 CYLINDER R",orig
635,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT",orig
646,"BAFFLE BOLT OR SCREW MISSING, FORWARD LEFT SIDE IN FRONT OF #2 CY",orig
671,WIRING BETWEEN #2 - 4 UNSUPPORTED.,orig
677,FORWARD LOWER ENGINE BAFFLE SEAL WORN ABOVE ENGINE AIR INTAKE.,orig
699,"SEAL WEARING AT FORWARD LOWER BAFFLE, ABOVE INTAKE.",orig
704,ENGINE NEEDS TO BE FOGGED.,orig
705,#3 CYLINDER BAFFLE PLUG DAMAGED.,orig
716,#2 & 4 CYLINDER HARNESS ANCHORS ARE BROKEN.,orig
725,#4 BAFFLE HAS LOOSE HARDWARE ON RIGHT ENGINE.,orig
743,FORWARD LOWER ENGINE SEAL WORN ABOVE AIR INTAKE.,orig
750,#3 BAFFLE SEAL RIVETS LOOSE.,orig
791,"#4 CYLINDER INTAKE TUBE FLANGE WORN, LEFT ENGINE.",orig
813,"ON RUN UP, OBSERVED ENGINE ROUGHNESS. CONSISTANT W/ STICKING",orig
818,ENGINE SCROLL DIRTY.,orig
823,SMALL LEAK NOTED ON UPPER ENGINE CRANKCASE BACKBONE.,orig
834,ADEL CLAMP FOR MIXTURE & THROTTLE CABLES ON RIGHT SDIE OF UPPE,orig
850,LEFT ENGINE BAFFLE TIE RODS BAD.,orig
859,"WHEN PULLED BACK THROTTLE HARD IDLE SEVERAL SECONDS, ENGINE",orig
861,#1 CYLINDER AFT PUSH ROD TUBE STAND OFF RIVET NEEDS TO BE SQUEEZE,orig
862,RIGHT ENGINE #2 ROCKER SCREW IS MISSING.,orig
865,CRANKSHAFT SEAL IS LEAKING ON RIGHT ENGINE.,orig
892,OVERSPEED PROP FOR APPROX 3 SECONDS.,orig
904,#2 FORWARD BAFFLE SEAL DISCONNECTED FOR 3 RIVETS.,orig
911,"PROP OVERSPEED, 2720 RPM FOR 1 SECOND.",orig
936,ALL ROCKER DRAIN LINES LEAKING AT HOSE CLAMPS.,orig
942,BAFFLING ON #3 CYLINDER CRACKED.,orig
946,ENGINE IDLES AT APPROXIMATELY 1000 RPM ON LAST DAILY SHUT DO,orig
967,"#3, 4 PISTON PINS DAMAGED DURING REMOVAL.",orig
978,RIGHT ENGINE BAFFLE COVER CAM LOCK NEEDS TO BE FIXED.,orig
979,NOSE LANDING GEAR DOWN LOCK AFT TRUNNION BOLT LOOSE ON RIGHT.,orig
992,CYLINDER #2 INTAKE ROCKER ARM REQUIRES REPLACEMENT.,orig
994,EVIDENCE OF OIL LEAK ON PILOT SIDE OF ENGINE.,orig
1007,ENGINE BACK FIRED WHILE IN A HOVER.,orig
1012,"LOWER ENGINE FORWARD BLACK BAFFLE SEAL, BY AIR FILTER, HAS WORN SPOTS",orig
1028,FRONT BLACK SEAL FOR ENGINE COWL NEEDS RTV FOR WORN SPOTS.,orig
1035,LEFT ENGINE OIL COOLER BAFFLE CORNER NEEDS TO BE INSP. REMOVE FO,orig
1037,ENGINE INTAKE BOOT TORN.,orig
1043,LEFT BAFFLE LOOSE (#2 CYLINDER BAFFLE SEAL).,orig
1053,#3 CYLINDER ROCKER COVER EXHAUST GAS TEMPERATURE  STAND OFF BROKEN.,orig
1066,BRACKET BROKEN FOR #4 BAFFLE.,orig
1073,UNUSUAL ATTITUDE POWER WAS ADDED & ENGINE REACHED APPROX 280,orig
1080,RIGHT ENGINE OVER TEMPERATURE 503*.,orig
1107,OIL COOLER WEATHER STRIPPING LOOSE.,orig
1110,FORWARD BAFFLE SEAL MISSING FROM MUFFLER INTAKE ON BAFFLE.,orig
1112,ENGINE RPM WOULD NOT STABILIZE. CONSTENTLY VARYING & STUDDER,orig
1116,BAFFLE WIRE BROKEN.,orig
1127,DURING POST FLIGHT FOUND OIL ON INTAKE PIPES.,orig
1128,ROUGH ENGINE ON TAKE OFF,orig
1138,#2 CYLINDER VALVE STICKING.,orig
1139,"DURING CLIMB OUT, LEFT ENGINE SHUTTERED 3 TIMES. EACH TIME RIGHT PATTERN",orig
1173,RIGHT ENGINE CYLINDER #2 HAS POSSIBLE CRACK BY INTAKE PORT.,orig
1184,2 PHENOLIC SPACERS BROKEN ON THROTTLE CONTROL QUADRANT.,orig
1185,ALL SPARK PLUGS WORN.,orig
1186,"ENGINE RPM DROPPED 200-300 RPM SUDDENLY, ACCOMPANIED BY STRO",orig
1192,A/C ENGINE WOULD SHUT DOWN WHEN LEANING MIXTURE ON THE GROUN,orig
1203,SMALL CRACK ON LEFT LOWER FORWARD SIDE OF FORWARD BAFFLE.,orig
1205,#2 CYLINDER BAFFLE NEEDS BARREL NUT.,orig
1243,"STRANGE HOWLING NOISE, THAT INCREASES IN VOLUME DURING FLIGH",orig
1244,RIGHT ENGINE LOWER AFT COWLING HAS SEALS TO BE REGLUED.,orig
1260,BOTH LOWER ENGINE COWLS NEED CLEANING.,orig
1266,#3 CYLINDER AFT BAFFLE ATTACH SCREW HAS COME OUT.,orig
1270,"LAST LANDING, COMING OFF RUNWAY, ENGINE SHUT DOWN",orig
1283,"RIGHT ENGINE HAS CRACKED 90* BRACKET FORWARD OIL COOLER, NEEDS STOP D",orig
1286,LEFT ENGINE OVERSPEED ON TAKE OFF & CLIMB; 2720-2730. COULD H,orig
1287,RIVET LOOSE ON LEFT BAFFLE.,orig
1346,LEFT ENGNIE O/B BULKHEAD HAS CRACK BY ATTACH HOLES FOR LOWER,orig
1349,"ON ENGINE START UP, ENGINE MADE LOUD GRINDING NOISE, THAT DIRECTION INDICATOR",orig
1353,RIGHT ENGINE CARBURETOR AIR BOX LOOSE.,orig
1360,"BAFFLE SEALS ON #1, 4 CYLINDERS NEED TO BE SECURED.",orig
1361,REMOVE SERVICEABLE ENGINE ASSEMBLY TO PREPARE FOR TRANSPORT FOR,orig
1380,GROUNDING POINTS ON ENGINE & FIREWALL LOOSE.,orig
1384,"DURING SHUT DOWN CHECKLIST, WHEN PUT THROTTLE IDLE, ENGINE S",orig
1390,"RIVET LOOSE AT BAFFLE, AFT CENTER.",orig
1391,#4 COMPRESSION IS 20/80.,orig
1405,LEFT ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,orig
1413,RIGHT AFT BAFFLE MOUNT RIVETS ARE SHEARED.,orig
1414,"LEFT ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.",orig
1423,#2 INDUCTION TUBE HOSE CLAMP BROKEN.,orig
1424,RIGHT FORWARD UPPER BAFFLE SEAL NEEDS TO BE RESECURED.,orig
1454,FORWARD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE.,orig
1455,REAR RIGHT ENGINE BAFFLE BRACKET RIVETS LOOSE.,orig
1458,#2 CYLINDER ROCKER COVER IS MISSING A SCREW.,orig
1482,CYLINDER #4 ROCKER COVER GASKET NEEDS TO BE REPLACED.,orig
1489,LEFT ENGINE WILL NOT START.,orig
1490,PARTICLE SEPERATOR HAS GRASS IN IT.,orig
1493,#2 & 4 CYLINDER ROCKER COVER SCREWS ARE LOOSE.,orig
1494,LEFT BAFFLE PLUG HOLE IS ELONGATED.,orig
1496,#4 INTAKE LEAKING @ OIL SUMP.,orig
1527,#3 AFT BAFFLE TAB LOOSE.,orig
1537,RIGHT ENGINE HAS OIL LEAK AT HOISTING LOOP.,orig
1554,TOP BOLT ON ENGINE CASE LEAKING.,orig
1580,PROP OVERSPEED 2770 FOR 3+ SECONDS.,orig
1581,HARDWARE MISSING ON #3 BAFFLE.,orig
1584,"#2 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .035"").",orig
1597,LEFT ENGINE BAFFLE ACCESS HOLE ELONGATED.,orig
1599,LEFT ENGINE CENTER CASE BOLT LEAKING OIL.,orig
1605,ROUGH ENGINE,orig
1612,#1 CYLINDER ON RIGHT ENGINE SUSPECT CRACKED.,orig
2,"Holding short of the runway after completion of the run-up, the engine gauges were monitored.",var
2,Stopped short of the runway once the run-up was done and we kept an eye on the engine.,var
2,"After finishing the run-up and holding short of the runway, the engine remained under observation.",var
2,"Run-up complete, holding short of runway — engine being checked.",var
9,During flight the engine began running rough; inspection revealed the right magnetos were inoperative.,var
9,The engine got rough in the air and we found the left magneto had failed.,var
9,In-flight engine roughness noted — discovered the #2 magneto not working.,var
9,Engine started roughing out while airborne; the right mag was found inoperative.,var
18,During the last daily shutdown the idle-override speed was checked and engine RPM recorded.,var
18,At the last daily shut-down we ran an idle override speed check and noted the engine RPM.,var
18,Last daily shutdown: idle override speed check completed — engine RPM verified.,var
18,Idle override speed and engine RPM were checked during the most recent daily shutdown.,var
24,Oil was observed along the entire right side of the fuselage.,var
24,Found oil all down the left side of the fuselage.,var
24,The whole right-hand side of the fuselage is contaminated with oil.,var
24,Oil coating detected across the full length of the fuselage left side.,var
26,Baffle seals beneath both prop governors are loose and need attention.,var
26,Both prop-governor baffle seals were found loose during inspection.,var
26,Loose baffle seals under the two prop governors require securing.,var
26,Found the baffle seals under each prop governor to be loose.,var
38,A small crack was found in the forward inboard baffle of the right engine.,var
38,Found a tiny split in the forward I/B baffle on the left engine during inspection.,var
38,The #2 engine forward inboard baffle shows a minor crack.,var
38,Forward inboard baffle on #1 engine has a small crack noted.,var
42,Felt the baffle on engine #2 coming loose during inspection.,var
42,I could feel the right baffle on engine 1 starting to come off.,var
42,Both baffles on engines #3 and #4 felt like they were coming loose when checked.,var
42,"While checking, the left-side baffle on engine 2 seemed loose to the touch.",var
71,A leak was found at the forward pushrod seal on engine cylinder No. 2.,var
71,The forward push-rod seal on cylinder 4 is leaking.,var
71,Forward pushrod seal leaking at the engine's #1 cylinder.,var
71,Found leakage at the forward pushrod seal of the engine on cylinder 3.,var
73,A hole was found in the baffle seal during inspection.,var
73,The baffle’s seal has a puncture and needs attention.,var
73,Baffle seal compromised — visible hole present.,var
73,There is a hole in the baffle seal that requires replacement.,var
81,Aft baffle mount on cylinder #3 is loose.,var
81,Rear baffle mounting bracket on cyl #2 found loose.,var
81,Cylinder #4 aft baffle mount not secure.,var
81,Found the aft baffle mount loose on cyl 1.,var
84,The clamps securing the oil return line are loose.,var
84,Found loose clamps on the oil return line during inspection.,var
84,Oil return hose clamps are not tight and need retightening.,var
84,The return oil line has loosened clamps that require torqueing.,var
90,The right inner cylinder baffle tie rod is installed incorrectly.,var
90,Found the left inner-cylinder baffle tie-rod fitted wrong during the inspection.,var
90,Tie rod on the #2 inner cylinder baffle was installed improperly.,var
90,Inner baffle tie rod for the #3 cylinder on the right side is misaligned and installed wrong.,var
92,Right engine #3 baffle cracked at the contact point with the upper #1 baffle attachment.,var
92,Found a crack in the left engine’s #2 baffle where the upper #1 baffle attach point contacted it.,var
92,The #4 baffle on the right engine is cracked by the upper #2 baffle attachment.,var
92,"Upper #1 baffle attachment damaged the #3 baffle on the left engine, causing a visible crack.",var
100,Rocker cover gasket leaking on cylinders #2 and #3.,var
100,Found oil seeping from the #1 and #4 cylinder rocker cover gaskets.,var
100,Leak observed at the cylinder 3 rocker-cover gasket during inspection.,var
100,Cylinder 2's rocker cover gasket is leaking oil.,var
108,Oil return line on cylinder No. 3 is leaking at the rubber hose section.,var
108,Found oil seeping from the rubber hose of cylinder #2’s return line.,var
108,Leak detected in the oil return hose section of cylinder 4.,var
108,Cylinder 1 oil return line has a leak at the flexible rubber hose.,var
119,The dog-bone in the throttle linkage has a loose bearing.,var
119,Found a loose bearing on the throttle linkage dog bone during inspection.,var
119,The throttle control dogbone connecting link shows a loose bearing at the joint.,var
119,Loose bearing at the throttle link dog-bone — requires tightening.,var
128,The pilot couldn't remove the engine oil dipstick during the check.,var
128,The dipstick wouldn't pull out when the pilot tried to remove it.,var
128,Crew reported they were unable to extract the oil dipstick.,var
128,Pilot attempted to withdraw the dipstick but it remained stuck.,var
150,Engine baffles need new button plugs.,var
150,Replace the button plugs in the engine baffles.,var
150,Both engine baffles require new button-type plugs at the next service.,var
150,Left and right baffle assemblies are missing serviceable button plugs and need replacements.,var
169,Rocker covers on cylinders No.1 and No.2 are missing two screws.,var
169,Found the 1 & 2 rocker covers short two screws.,var
169,The rocker cover for cylinder two and cylinder one is missing a pair of screws.,var
169,Both first and second rocker covers lack 2 mounting screws.,var
170,"Engine idles very erratically below 1,150 RPM.",var
170,"When the rpm falls under about 1,200 the engine runs very rough at idle.",var
170,"Idle becomes highly unstable at less than 1,100 rpm.",var
170,Below roughly 1.15k rpm the engine's idle is inconsistent.,var
182,Rivets holding the baffle bracket on cylinder No. 2 are loose at the aft side of the baffle.,var
182,Found the baffle bracket rivets loose on the back of the #4 cylinder’s baffle.,var
182,Loose rivets noted on the rear face of the baffle bracket for cylinder three.,var
182,The #3 cylinder’s baffle bracket rivets are loose on the back side of the baffle.,var
184,Engine oversped to 3200 RPM during flight.,var
184,Hit an overspeed of about 3400 rpm while airborne.,var
184,In-flight overspeed recorded at 3300 RPM.,var
184,During flight the engine exceeded 3250 RPM.,var
200,Aircraft fails to develop engine power.,var
200,A/C unable to produce any power.,var
200,The airplane won't make power.,var
200,No engine power is being generated.,var
207,"Right engine vibrates as power is increased, and the exhaust gas temperature gauge shows no indication for cylinder 3.",var
207,When you add power the left engine starts shaking and there’s no EGT reading on cylinder 2.,var
207,"Vibration on power-up from the right-hand engine, with the EGT indicator for cylinder 4 blank.",var
207,Applying power causes the left engine to vibrate and the #3 cylinder’s exhaust gas temperature fails to register.,var
208,The inboard intake bolt hole on engine #3 has damaged threads.,var
208,Found stripped threads in the right inboard intake bolt hole.,var
208,Damaged threads were noted in the inboard intake bolt hole of engine #1.,var
208,The left engine’s inboard intake bolt hole has damaged threads.,var
209,Both left and right oil dipstick tubes are loose.,var
209,The oil dipstick tubes on the right and left sides are loose.,var
209,Oil dipstick tubes #1 and #2 are loose and need to be secured.,var
209,LH and RH oil dipstick tubes came loose during the inspection.,var
231,Both spark plug baffle plugs are worn.,var
231,The left and right spark plug baffle plugs show wear.,var
231,#1 and #2 spark plug baffle plugs exhibit wear.,var
231,Worn baffle plugs found at both spark plug locations.,var
235,Outer baffle tie and spring broken on engines #2 and #4.,var
235,Found the outer baffle tie and spring snapped on engines 1 and 3.,var
235,Left-side baffle outer tie and spring discovered broken.,var
235,Right baffle outer tie and spring fractured on engine 4.,var
263,The induction air filter can be replaced during the next inspection.,var
263,You can swap out the intake air filter for a new one.,var
263,Replacement of the induction inlet filter is possible.,var
263,The inlet air filter on the induction system may be changed.,var
291,The Adel clamp was torn by the right engine mount.,var
291,Found the Adel clamp ripped against the left engine mount.,var
291,Adel clamp at engine mount #2 showed tearing from contact with the mount.,var
291,Torn Adel clamp located on #1 engine mounting area.,var
302,The governor baffle seal on cylinder #1 is coming off.,var
302,The seal on the governor baffle of cylinder #2 is peeling away and is loose.,var
302,Found the governor-baffle seal for cylinder 3 starting to separate.,var
302,Cylinder 4’s governor baffle seal has begun to detach and needs attention.,var
306,The 90-degree Adel clamp bracket that secures the oil line is broken.,var
306,Found the oil line’s 91° Adel clamp bracket cracked and coming loose.,var
306,Adel clamp bracket at a 45-degree oil-line bend is fractured.,var
306,Broken ninety-degree oil line Adel clamp bracket noted.,var
308,Engine quit while at idle; restarted and checked idle plus full‑power operation.,var
308,Engine stopped during idle. Restarted it and ran idle and full power tests.,var
308,Lost engine power at idle — restarted and verified both idle and full throttle performance.,var
308,"While idling the engine shut down, was restarted, then tested at idle and at full power.",var
329,During start-up the starter motor would rotate twice and then shut off.,var
329,"When trying to start, the starter would spin two revolutions and then die out.",var
329,Starter engaged for three turns before cutting out during engine start.,var
329,Starter cranked once and then stopped during start-up.,var
335,The baffle button plug shows excessive wear and should be replaced.,var
335,That baffle button plug is pretty worn out.,var
335,Inspection revealed the baffle button plug is worn.,var
335,The plug on the baffle button is deteriorated and needs changing.,var
339,The safety wire on the right baffle is broken.,var
339,Found the left baffle’s safety wire snapped during inspection.,var
339,Safety wire securing the #2 baffle is fractured.,var
339,Right-side baffle safety wire failed.,var
355,Aft-right engine baffle mounting screw is missing and the bracket rivet is sheared.,var
355,The left rear engine baffle had its mounting screw gone and the bracket rivet pulled out.,var
355,Right rear engine baffle mounting screw missing; bracket rivet appears damaged.,var
355,Rear baffle screw missing on the #2 side of the engine and the mounting bracket rivet failed.,var
380,Right engine baffle crossties at positions #2 and #4 are broken.,var
380,Found the left engine baffle with the #1 & 3 crossties snapped.,var
380,"Crosstie failures detected on the right-side baffle, locations 2 and 4.",var
380,Baffle crosstie broken on the left engine at stations 3 and 4.,var
384,The left baffle plug is missing several teeth.,var
384,Noted missing teeth on the right baffle plug during inspection.,var
384,Baffle plug (left side) showed lost teeth.,var
384,Found the right-side baffle plug with teeth missing.,var
425,The accessory pad behind the alternator has a bracket installed w/ not.,var
425,Found a bracket fitted to the accessory pad behind the alternator — w/ not.,var
425,A bracket is installed on the accessory pad located behind the alternator w/ not.,var
425,"Accessory pad behind alternator: bracket installed, noted as w/ not.",var
446,The front baffle seals show signs of wear and should be replaced.,var
446,The seals on the forward baffle are worn out.,var
446,Worn front baffle seals observed during inspection.,var
446,Inspection revealed wear on the front baffle sealing strips.,var
452,During run-up the engine RPM would not increase above 1560 RPM despite throttle changes.,var
452,"While performing the runup the tach wouldn't climb past about 1580, no matter what inputs were made.",var
452,"RPM failed to rise beyond 1500 during the run-up, regardless of throttle or mixture adjustments.",var
452,During the engine check the RPM would not accelerate past 1600 rpm even with full throttle.,var
456,The right baffle spring is disconnected.,var
456,Found the left baffle spring has come loose and is disconnected.,var
456,Baffle spring on engine #2 is detached and needs reattachment.,var
456,The #1 right-side baffle spring separated from its mounting.,var
460,Right #2 cylinder exhaust pushrod seal is leaking oil.,var
460,There's oil seeping from the exhaust push-rod seal on the left #3 cylinder.,var
460,Leak observed at the exhaust pushrod seal of the left #2 cylinder.,var
460,The exhaust pushrod seal on the right #4 cylinder shows a leak.,var
470,Retaining nut absent from the muffler assembly.,var
470,Found the muffler without its nut during inspection.,var
470,The muffler’s nut appears to have fallen off.,var
470,Inspection revealed a missing nut on the muffler.,var
475,The manifold pressure (psi) line is broken and needs repair.,var
475,Found a busted manifold PSI line that isn’t holding pressure.,var
475,Manifold pressure line failed—broken section observed during inspection.,var
475,A break was identified in the manifold psi line.,var
485,Left-engine left-side baffle connecting rod is broken.,var
485,The baffle connecting rod on the right side of the left engine has snapped.,var
485,Connecting rod for the right-side baffle on the right engine fractured.,var
485,A broken connecting rod was found in the left-side baffle of the left engine during inspection.,var
488,The side baffle on cylinder #3 has loose hardware.,var
488,Found loose bolts on the left-side baffle of cylinder 2.,var
488,Loose fasteners were noted on the right side baffle of cylinder 3.,var
488,Cylinder 4 side baffle has loose hardware.,var
499,The engine baffle top spark plug access hole for cylinder #4 requires enlargement for proper plug access.,var
499,The top plug hole in the baffle for cylinder 3 is too small and needs to be opened up.,var
499,Rework required: baffle top spark plug access opening on cylinder 2 is undersized.,var
499,Enlarge the top spark plug access opening in the engine baffle for cylinder 1.,var
526,Rivets on the aft baffling behind cylinder #3 were found sheared.,var
526,Found several rivets sheared on the rear baffle behind cylinder #2.,var
526,Sheared rivets observed on the aft baffle aft of cylinder 4.,var
526,The aft baffling aft of cylinder three has rivets that have sheared.,var
533,A test flight is required to verify hover power.,var
533,Perform a flight test to confirm hover performance.,var
533,Need to conduct a test flight to check the helicopter’s ability to hover.,var
533,Recommend one flight test to validate hover capability.,var
537,Front baffle seals on the lower left and lower right sides need replacement.,var
537,The front baffle seals on the bottom right and bottom left need to be replaced.,var
537,Front lower baffle seals on sides 1 and 2 require servicing.,var
537,Both lower front baffle seals (left/right) need repair.,var
538,Rocker cover gasket on cylinder #1 requires replacement.,var
538,The gasket beneath the rocker cover at #3 is worn and needs to be changed.,var
538,Replace the #4 rocker cover gasket; it is no longer serviceable.,var
538,Rocker cover gasket for cylinder 2 needs replacement.,var
551,Left engine is missing the baffle bolt from cylinder No. 3.,var
551,Found the baffle bolt gone from cylinder 4 on the right engine.,var
551,Baffle bolt absent at cylinder 2 of the left engine.,var
551,Inspection revealed the right engine without a baffle bolt on cylinder three.,var
556,Leak observed at the rocker arm cover of cylinder No.1.,var
556,There's oil coming from the rocker-arm cover on #3.,var
556,Rocker arm cover on cylinder 4 found to be leaking.,var
556,Cylinder 2 rocker arm cover is leaking.,var
558,The #3 cylinder baffle on the left engine was found cracked along the aft side.,var
558,Found a crack at the rear of the #2 cylinder baffle on the right engine.,var
558,Aft-side crack detected in the baffle of cylinder #4 on the left engine.,var
558,Left-engine cylinder baffle fractured on the aft side (cylinder #1).,var
569,Baffle cracked beyond the stop drill on the #4 cylinder.,var
569,Found the baffle crack running past the stop-drill at cylinder #3.,var
569,The baffle is cracked through the stop-drill area of cylinder 2.,var
569,Inspection showed the baffle crack extended past the stop drill at cylinder #4.,var
597,The left rear engine baffle access hole is worn and needs attention.,var
597,Wear was found at the rear access hole of the right engine baffle.,var
597,Left rear baffle access opening shows noticeable wear.,var
597,The access hole in the right rear engine baffle is worn; schedule inspection.,var
598,"Oil was observed on the engine right side, with spray deposited below and aft.",var
598,Found oil on the left side of the engine — it sprayed downward and toward the rear.,var
598,Oil present on the right engine flank; droplets sprayed below and aft of the unit.,var
598,"Engine oil contamination noted on the left side, with oil sprayed down and to the aft section.",var
599,During taxi the engine ran rough from 700 to 1500 RPM; leaned the mixture.,var
599,"While taxiing the engine was rough at about 900–1300 rpm, so I leaned the mixture.",var
599,On taxi the engine exhibited rough running between 500 and 1600 RPM — mixture leaned to correct it.,var
599,"Engine ran rough during taxi from 800 to 1200 rpm, leaning the mixture improved smoothness.",var
614,Cylinder #1 head temperature fitting (CHT) needs to be replaced.,var
614,The #2 cylinder's CHT fitting is worn and must be changed.,var
614,Replace the cylinder head temperature fitting on cylinder #3 — it's defective.,var
614,The CHT probe adapter on cylinder #4 requires replacement.,var
621,An issue was noted with the exhaust gas temperature/cylinder head temperature wire-bundle mounting screw and the ignition lead/oil cooler mount.,var
621,Found a problem with the EGT/CHT wiring bundle mounting screw and the ignition lead at the oil cooler bracket.,var
621,EGT and CHT wire-bundle mounting screw plus the ignition lead/oil cooler mount require inspection and securing.,var
621,The mounting screw for the exhaust gas temperature and cylinder head temperature harness and the ignition lead on the oil cooler attachment showed a discrepancy.,var
622,The baffle screw is fitted with an oversized washer that is chafing the #3 cylinder right side.,var
622,An oversized washer on the baffle screw is rubbing against the right-hand #2 cylinder.,var
622,Baffle screw has a too-large washer contacting the left side of cylinder #4 and causing chafing.,var
622,Oversized washer on the baffle screw is wearing into the left #1 cylinder.,var
635,"While fogging cylinder #2, the tip of the sprayer nozzle accidentally made contact with the cylinder.",var
