IDENT,PROBLEM,ACTION,DESAB
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.
100023,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS ARE LOOSE.
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100025,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",#1 INTAKE GASKET LEAKING.
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100027,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,RIGHT MAGNETOS BLAST TUBE FELL OFF.
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RIGHT PATTERN"
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RIGHT PATTERN"
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.","ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RIGHT PATTERN"
100031,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.
100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED
100033,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,RIGHT ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,LEFT ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING."
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,LEFT ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.
100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",LEFT ENGINE #2 INTAKE LEAKING.
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E"
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E"
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G","IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E"
100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,#4 INTAKE LEAKING.
100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING.
100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,TOP LEFT BAFFLE HAS A CRACK.
100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,OIL DIPSTICK OIL STICK IS LOOSE.
100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,#3 BRAKE MISSING SCREW.
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,BAFFLE SEALS ON RIGHT SIDE ARE TORN.
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING.
100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,#3 AFT BAFFLE BRACKET LOOSE.
100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,#4 CYLINDER ROCKER COVER IS LEAKING.
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.,"#1, 2, & 6 COWL MOUNTS ARE TORN."
100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE LEAKING.
100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 ROCKER COVERS LEAKING.
100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.,#4 INTAKE IS LEAKING.
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R","DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE"
100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.,LEFT BAFFLE PLUG WORN.
100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,#1 ROCKER COVER LEAKING.
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.,LEFT ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.,RIGHT ENGINE #3 AFT BAFFLE SEAL IS LOOSE.
100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET TORN.
100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER GASKET TORN.
100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,#1 ROCKER COVER GASKET LEAKING.
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.",DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).
100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.,STUDENT COULDN'T START A/C.
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,"AFTER LANDING, A/C IDLE @ 970 RPM."
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.
100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.,RIGHT ENGINE #2 INTAKE LEAKS.
100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT ENGINE #4 CYLINDER BAFFLE CRACKED.
100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,RIGHT ENGINE #4 CYLINDER BAFFLE CRACKED.
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,#2 & 4 SIDE BAFFLE BRACE BROKEN.
100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,#4 CYLINDER INTAKE GASKET IS LEAKING.
100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,#4 ROCKER BOX COVER GASKET LEAKING.
100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.,BAFFLE PLUG HOLE WORN.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD.",ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100081,#2 INTAKE LEAKS.,REPLACED GASKET.,#2 INTAKE LEAKS.
100082,#4 INTAKE LEAKS.,REPLACED GASKET.,#4 INTAKE LEAKS.
100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.,#3 INTAKE TUBE GASKET IS LEAKING.
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.
100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",ENGINE WOULD NOT START.
100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,"TOP FRONT RIGHT BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH."
100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.
100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,#2 INDUCTION TUBE GASKET LEAKING.
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 ROCKER COVERS ARE LEAKING.
100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,#1 INTAKE LEAKING.
100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,#3 & 4 ROCKER COVERS LEAKING.
100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,#1 ROCKER COVER IS LEAKING.
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,LEFT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.
100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER LEAKING.
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH",ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR
100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,#3 ROCKER COVER IS LEAKING.
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.,RIGHT ENGINE #4 CYLINDER BAFFLE BOLT MISSING.
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",RIGHT ENGINE #1 & 4 ROCKER COVERS LEAKING.
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",LEFT ENGINE #1 & 3 ROCKER COVERS LEAKING.
100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,ENGINE DIED DURING MAGNETOS CHECK.
100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER GASKET LEAKING.
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,"#2, 4 ROCKER COVER GASKET LEAKING."
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.,#2 & 4 CYLINDER OIL RETURN LINE CLAMPS LOOSE.
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,RIGHT ENGINE #2 INTAKE GASKET LEAKING.
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.,LEFT ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.,LEFT ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.
100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE IS LEAKING.
100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,#1 LEFT INTAKE HAS LARGE GOUGE.
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,LEFT ENGINE #3 ROCKER COVER LEAKING.
100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,#2 CYLINDER HAS LOW COMPRESSION.
100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,#4 ROCKER COVER IS LEAKING.
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.,LEFT SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE.
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,RIGHT BAFFLE FRONT SIDE HAS A CRACK.
100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,CYLINDER #4 INTAKE IS LEAKING.
100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.
100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.,#4 ROCKER COVER IS LEAKING.
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,RIGHT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.,SCREW IS MISSING ON #3 CYLINDER BAFFLE.
100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.,RIGHT FRONT BAFFLE SEAL LOOSE.
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.",TOP BACK LEFT CORNER BAFFLE IS CRACKED.
100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLINDER INTAKE GASKET IS LEAKING.
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL",ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED
100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,#1 & 3 INTAKES LEAKING.
100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 4 ROCKER COVER LEAKING.
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,RIGHT AFT BAFFLE MOUNT RIVETS ARE SHEARED.
100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N",CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.,"LEFT ENGINE #2, 3 & 4 INTAKES ARE LEAKING."
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT ENGINE #3 ROCKER COVER IS LEAKING.
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.,RIGHT ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.,RIGHT ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A","LEFT ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED."
100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.
100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,#2 ROCKER BOX COVER GASKET LEAKING.
100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,#4 ROCKER COVER GASKET LEAKING.
100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.,LEFT BRAKE LININGS ARE WORN OUT.
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.,RIGHT ENGINE #3 ROCKER COVER IS LEAKING.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.
100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#2 ROCKER COVER GASKET LEAKING.
100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",#2 CYLINDER HAS LOW COMPRESSION.
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,#2 ROCKER BOX COVER SCREWS LOOSE.
100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.,#3 BAFFLE BUTTON PLUG BAD.
100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",RIGHT ENGINE ROUGH IN FLIGHT.
100158,#1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED 1 & 3 ROCKER COVERS.,#1 & 3 ROCKER COVERS ARE LEAKING.
100159,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,RIGHT FORWARD BAFFLE SEAL LOOSE.
100160,"WHILE TAXIING, ENGINE QUIT.",FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,"WHILE TAXIING, ENGINE QUIT."
