IDENT,DESAB
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.
100073,#4 CYLINDER INTAKE GASKET IS LEAKING.
100074,#4 ROCKER BOX COVER GASKET LEAKING.
100075,BAFFLE PLUG HOLE WORN.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.
100081,#2 INTAKE LEAKS.
100082,#4 INTAKE LEAKS.
100083,#3 INTAKE TUBE GASKET IS LEAKING.
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.
100085,ENGINE WOULD NOT START.
100086,#2 INTAKE IS LEAKING.
100087,"TOP FRONT RIGHT BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH."
100088,ROCKER BOX COVER SCREWS LOOSE.
100089,#2 INDUCTION TUBE GASKET LEAKING.
100090,#2 & 4 ROCKER COVERS ARE LEAKING.
100091,#1 INTAKE LEAKING.
100092,#3 & 4 ROCKER COVERS LEAKING.
100093,#1 ROCKER COVER IS LEAKING.
100094,LEFT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
100095,ROCKER BOX COVER SCREWS LOOSE.
100096,#4 ROCKER COVER LEAKING.
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR
100100,#3 ROCKER COVER IS LEAKING.
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.
100102,RIGHT ENGINE #4 CYLINDER BAFFLE BOLT MISSING.
100103,RIGHT ENGINE #1 & 4 ROCKER COVERS LEAKING.
100104,LEFT ENGINE #1 & 3 ROCKER COVERS LEAKING.
100105,ENGINE DIED DURING MAGNETOS CHECK.
100106,#3 ROCKER COVER GASKET LEAKING.
100107,"#2, 4 ROCKER COVER GASKET LEAKING."
100108,#2 & 4 CYLINDER OIL RETURN LINE CLAMPS LOOSE.
100109,RIGHT ENGINE #2 INTAKE GASKET LEAKING.
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.
100111,LEFT ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.
100113,#2 INTAKE IS LEAKING.
100114,#1 LEFT INTAKE HAS LARGE GOUGE.
100115,LEFT ENGINE #3 ROCKER COVER LEAKING.
100116,#2 CYLINDER HAS LOW COMPRESSION.
100117,#4 ROCKER COVER IS LEAKING.
100118,LEFT SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE.
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.
100120,RIGHT BAFFLE FRONT SIDE HAS A CRACK.
100121,CYLINDER #4 INTAKE IS LEAKING.
100122,#2 INTAKE IS LEAKING.
100123,#4 ROCKER COVER IS LEAKING.
100124,RIGHT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
100125,SCREW IS MISSING ON #3 CYLINDER BAFFLE.
100126,RIGHT FRONT BAFFLE SEAL LOOSE.
100127,TOP BACK LEFT CORNER BAFFLE IS CRACKED.
100128,#2 CYLINDER INTAKE GASKET IS LEAKING.
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED
100132,#1 & 3 INTAKES LEAKING.
100133,#2 & 4 ROCKER COVER LEAKING.
100134,RIGHT AFT BAFFLE MOUNT RIVETS ARE SHEARED.
100135,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT
100139,"LEFT ENGINE #2, 3 & 4 INTAKES ARE LEAKING."
100140,LEFT ENGINE #3 ROCKER COVER IS LEAKING.
100141,RIGHT ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.
100142,RIGHT ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.
100143,"LEFT ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED."
100144,ROCKER BOX COVER SCREWS LOOSE.
100145,#2 ROCKER BOX COVER GASKET LEAKING.
100146,#4 ROCKER COVER GASKET LEAKING.
100147,LEFT BRAKE LININGS ARE WORN OUT.
100148,RIGHT ENGINE #3 ROCKER COVER IS LEAKING.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.
100153,#2 ROCKER COVER GASKET LEAKING.
100154,#2 CYLINDER HAS LOW COMPRESSION.
100155,#2 ROCKER BOX COVER SCREWS LOOSE.
100156,#3 BAFFLE BUTTON PLUG BAD.
100157,RIGHT ENGINE ROUGH IN FLIGHT.
100158,#1 & 3 ROCKER COVERS ARE LEAKING.
100159,RIGHT FORWARD BAFFLE SEAL LOOSE.
100160,"WHILE TAXIING, ENGINE QUIT."
100161,"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK."
100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE."
100163,LEFT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100164,RIGHT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100167,LEFT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100168,RIGHT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100169,LEFT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100170,RIGHT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100171,LEFT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100179,RIGHT ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.
100187,#2 & 4 INTAKE GASKET LEAKING.
100188,#2 INTAKE LEAKING.
100189,#3 ROCKER COVER LEAKING.
100190,AFT BAFFLE SCREW LOOSE.
100191,#4 REAR ENGINE BAFFLE CRACKED.
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100193,#3 CYLINDER EXHAUST SEAL LEAKING.
100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.
100195,ENGINE BAFFLE BUTTONS WORN.
100196,MISSING SCREW ON #3 ROCKER COVER.
100197,#2 & 4 INTAKES ARE LEAKING.
100198,#2 ROCKER COVER GASKET LEAKING.
100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T
100201,"LACING CORD LOOSE ON SCAT TUBING + IGNITION LEAD TO FRAME, RIGHT SI"
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON LEFT ENGINE.
100203,#2 INTAKE LEAKING ON RIGHT ENGINE.
100204,"INTAKES 2, # & 4 LEAKING ON LEFT ENGINE."
100205,ROCKER COVERS 2 & 4 LEAKING ON RIGHT ENGINE.
100206,"ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH."
100208,#2 INTAKE IS LEAKING.
100209,CYLINDER #2 INTAKE GASKET IS LEAKING.
100210,CYLINDER #2 & 3 ROCKER COVERS LEAKING.
100211,CYLINDER #3 AFT BAFFLE I/B SCREW BRACKET RIVETS ARE SHEARED OFF.
100212,#3 ROCKER COVER LEAKING.
100213,#2 & 4 ROCKER COVER GASKETS LEAKING.
100214,RIGHT ENGINE #2 INTAKE IS LEAKING.
100215,LEFT ENGINE #4 ROCKER COVER GASKET LEAKING.
100216,"RIGHT ENGINE, ALL 4 ROCKER COVER GASKETS SEEPING."
100217,RIGHT REAR ENGINE BAFFLE SCREW MISSING.
100218,ROCKER BOX COVER SCREWS LOOSE (ALL CYLS).
100219,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100220,#2 INTAKE LEAKING.
100221,#4 ROCKER COVER IS LEAKING.
100222,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100223,#2 & 4 ROCKER BOX COVER SCREWS LOOSE.
100224,LEFT ENGINE #1 INTAKE LEAKING.
100225,RIGHT ENGINE #2 & 1 INTAKE LEAKING.
100226,RIGHT FORWARD UPPER BAFFLE SEAL IS LOOSE.
100227,#4 ROCKER COVER IS LEAKING.
100228,ROCKER BOX COVER SCREWS LOOSE.
100229,#4 ROCKER GASKET LEAKING.
100230,#2 ROCKER COVER IS LEAKING.
100231,#4 CYLINDER HAS NO COMPRESSION.
100233,SCREW MISSING ON #3 BAFFLE.
100234,#2 ROCKER COVER IS LEAKING.
100235,INDUCTION TUBE HOSE CLAMPS LOOSE.
100236,RIGHT ENGINE CYLINDER #3 INTAKE IS LEAKING.
100237,LEFT ENGINE #4 INDUCTION TUBE GASKET LEAKING.
100238,LEFT ENGINE CYLINDER #1 FORWARD BAFFLE SEAL IS LOOSE.
100239,"LEFT ENGINE #1, 2 & 3 ROCKER BOX COVERS LEAKING."
100240,RIGHT ENGINE #2 INTAKE TUBE GASKET IS LEAKING.
100241,RIGHT ENGINE ALL ROCKER COVER GASKETS LEAKING.
100242,AFT BAFFLE BRACKET RIVETS SHEARED.
100243,#3 AFT BAFFLE IS WORN THROUGH AT I/B CYLINDER WRAP.
100244,FRONT RIGHT BAFFLE SIDE HAS A CRACK BY SCREW.
100245,FRONT RIGHT BAFFLE WORN THROUGH FROM MUFFLER SHROUD.
100247,"#2, 3 & 4 ROCKER GASKETS LEAKING."
100248,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.
100250,SCREW MISSING IN #4 ROCKER COVER.
100251,#2 INTAKE IS LEAKING.
100252,BRACKET SECURING OIL LINE TO #2 CYLINDER BROKEN.
100253,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.
100255,#2 ROCKER COVER GASKET LEAKING.
100256,#2 & 4 ROCKER COVERS ARE LEAKING.
100257,"DOING MAX PERFORM T/O @ 3200, MP WON'T GO ANY HIGHER THAN 24"
100258,"ROCKER COVER GASKETS 1, 3 & 4 LEAKING."
100259,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.
100260,"#1, 2 & 3 ROCKER BOX COVER SCREWS LOOSE."
100261,#1 & 3 ROCKER COVERS LEAKING.
100262,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).
100263,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100264,#3 INTAKE LEAKING AT CLAMP.
100265,#2 INTAKE GASKET LEAKING.
100266,"RIVET PULLED THROUGH BAFFLE SEAL, #1 CYLINDER."
100267,#3 ROCKER COVER LEAKING.
100268,LEFT ENGINE I/B BAFFLE INTERCONNECT ROD BROKEN.
100269,#2 INDUCTION TUBE HOSE CLAMP BROKEN.
100270,"#1, 2, 3 CYLINDER INTAKE GASKETS LEAKING."
100271,#4 ROCKER COVER IS LEAKING.
100272,AFT RIGHT BAFFLE HAS MISSING RIVET.
100273,#2 & 4 ROCKER COVERS LEAKING.
100274,RING GEAR HAS TOO MANY DAMAGED TEETH.
100275,#3 CYLINDER OIL RETURN LINE BEEN CHAFING ON WIRE BUNDLE.
100277,RIGHT SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.
100279,#1 ROCKER COVER LEAKING.
100280,RIGHT ENGINE CYLINDER #3 AFT BAFFLE IS CRACKED.
100281,LEFT ENGINE CYLINDER #4 AFT BAFFLE STIFFENER IS CRACKED.
100282,CYLINDER #2 & 3 INTAKES ARE LEAKING.
100283,RIGHT FORWARD UPPER BAFFLE SEAL NEEDS TO BE RESECURED.
100284,#1 INTAKE IS LEAKING.
100285,ROCKER COVERS 2 & 3 LEAKING.
100286,#2 INDUCTION TUBE GASKET LEAKING.
100287,#2 & 3 ROCKER BOX COVER GASKETS LEAKING.
100288,"DURING ENTRY TO 180 DEGREE AUTO, WHEN COLLECTIVE LOWERED TO"
100289,"CAP SCREW MISSING, LEFT ENGINE #4 BAFFLE."
100290,#4 ROCKER COVER LEAKING.
100291,ALL ROCKER COVERS HAVE LOOSE SCREWS.
100292,RIGHT ENGINE #3 INTAKE LEAKING.
100293,HARDWARE MISSING ON RIGHT ENGINE #4 ROCKER COVER.
100294,#4 INTAKE GASKET LEAKING.
100295,RIGHT ENGINE #2 ROCKER COVER LEAKING.
100296,#1 & 3 ROCKER BOX COVER SCREWS LOOSE.
100297,#2 & 4 INDUCTION TUBE GASKETS LEAKING.
100298,ALL SCREWS FOR ROCKER COVERS ARE LOOSE.
100299,#1 & 4 INTAKES LEAKING.
100300,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100301,RIGHT REAR BAFFLE MOUNTING SCREW LOOSE.
100302,LEFT BAFFLE PLUG MISSING.
100303,#3 INTAKE LEAKING.
100304,ENGINE INSPECTION PANEL MISSING SCREW
100305,#1 ROCKER COVER IS LEAKING.
100306,CYLINDER #2 & 3 INTAKES ARE LEAKING.
100307,#2 INTAKE GASKET LEAKING.
100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE."
100309,STARTER RING GEAR MISSING TEETH.
100310,#2 & 4 INTAKE GASKETS LEAKING.
100311,BOTH BAFFLE PLUGS WORN.
100312,#1 ROCKER LEAKING.
100313,RIGHT FORWARD BAFFLE MISSING SCREW.
100314,OIL PSI SWITCH WIRING GROMMET IS MISSING.
100315,#4 INTAKE LEAKING.
100316,#2 ROCKER COVER LEAKING.
100317,ROCKER COVERS 2 & 3 LEAKING.
100318,BACK LEFT TOP BAFFLE IS CRACKED.
100319,LEFT FORWARD ENGINE BAFFLE CRACKED.
100320,LEFT & RIGHT SPARK PLUG THROUGH HOLE PLUGS NEED TO BE REPLACED.
100321,#2 ROCKER COVER LEAKING.
100322,LEFT FORWARD ENGINE BAFFLE BLAST TUBE BLOCKED
100323,RIGHT ENGINE 2 & 3 INTAKES LEAKING.
100324,#3 ROCKER COVER LEAKING ON RIGHT ENGINE.
100325,"LEFT ENGINE INTAKES 1, 2 & 4 LEAKING."
100326,#2 INTAKE IS LEAKING.
100327,RIGHT BAFFLE PLUG NEEDS TO BE CHANGED.
100328,#3 INTAKE IS LEAKING.
100329,LEFT BOTTOM BAFFLE WIRE HOLDER IS BROKEN.
100330,#4 CYLINDER INTAKE GASKET LEAKING.
100331,SPARK PLUG BAFFLE PLUG IS WORN.
100332,#2 INTAKE IS LEAKING.
100333,#3 ROCKER COVER GASKET LEAKING.
100334,#2 ROCKER COVER GASKET LEAKING.
100335,"#2 CYLINDER, LEFT ENGINE INTAKE IS LEAKING."
100336,RIGHT ENGINE #4 CYLINDER INTAKE GASKET IS LEAKING.
100337,RIGHT ENGINE #1 CYLINDER SIDE BAFFLE SEAL IS TORN.
100338,RIGHT ENGINE #3 CYLINDER AFT BAFFLE SEAL IS OUT OF PLACE.
100339,LEFT SIDE BAFFLE CRACKED.
100340,LEFT DEFLECTOR BAFFLE IS CRACKED.
100341,#2 & 4 ROCKER COVERS ARE LEAKING.
100342,ENGINE BAFFLE BUTTONS WORN.
100343,#4 INTAKE GASKET IS LEAKING.
100344,LOWER RIGHT BAFFLE SPRING IS BROKEN.
100345,RIGHT BACK BAFFLE BRACKET SCREWS ARE LOOSE.
100346,BOTH BAFFLE PLUGS BAD.
100347,#2 ROCKER COVER LEAKING.
100348,#3 ROCKER COVER LEAKING.
100349,CYLINDER #3 BACK BAFFLE SCREW MISSING.
100350,SPIRAL WRAP ON ROCKER OIL RETURN LINES #1 & 3 REQUIRES REPLA
100351,LEFT ENGINE ROCKER BOX COVER SCREWS LOOSE.
100352,RIGHT ENGINE ROCKER BOX COVER SCREWS LOOSE.
100353,RIGHT ENGINE #2 INTAKE GASKET LEAKS.
100354,#4 INDUCTION TUBE GASKET LEAKING.
100355,#2 & 4 ROCKER BOX COVER GASKETS LEAKING.
100356,#1 INTAKE GASKET LEAKING.
100357,#4 ROCKER COVER LEAKING.
100358,#1 INTAKE IS LEAKING.
100359,ENGINE BAFFLE PLUG MISSING.
100360,CYLINDER #1 ROCKER COVER GASKET LEAKING.
100361,#2 INTAKE IS LEAKING.
100362,CYLINDER #2 ROCKER COVER LEAKING.
100363,RIGHT ENGINE #3 & 2 INTAKES LEAKING.
100364,RIGHT ENGINE #3 ROCKER COVER IS LEAKING.
100365,#2 & 3 INTAKES ON LEFT ENGINE ARE LEAKING.
100366,#2 CYLINDER INTAKE GASKET LEAKING.
100367,#2 CYLINDER INNER INTAKE PUSH ROD SEAL LEAKING.
100368,#2 ROCKER COVER GASKET LEAKING.
100369,#3 ROCKER COVER GASKET LEAKING.
100370,FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.
100371,CYLINDER #1 BAFFLE CRACKED AT SCREW SUPPORT & FORWARD BAFFLE BELOW #1
100372,RIGHT BAFFLE SEAL LOOSE (FORWARD UPPER).
100373,BAFFLE SEAL HAS HOLE IN IT.
100374,FRONT BAFFLE RUBBING ON MUFFLER.
100375,#2 INTAKE LEAKING.
100376,#3 CYLINDER HAS VALVE STICKING.
100378,#4 CYLINDER INTAKE GASKET IS LEAKING.
100379,#2 INTAKE IS LEAKING.
100380,"#2, 4 ROCKER COVER IS LEAKING."
100381,#2 & 3 INTAKES ARE LEAKING.
100382,#3 CYLINDER AFT BAFFLE MISSING SCREW.
100383,#4 ROCKER COVER IS LEAKING.
100384,"ENGINE ROUGH ON START, SUSPECT STUCK VALVE."
100386,#3 FORWARD PUSH ROD TUBE LEAKING @ ENGINE.
100387,CYLINDER #3 INTAKE TUBE LEAKING AT SUMP CONNECTOR HOSE.
100388,CYLINDER #3 AFT BAFFLE MOUNT RIVETS ARE SHEARED.
100389,#2 CYLINDER BAFFLE SEAL NEEDS TO BE RESECURED.
100390,#3 INTAKE GASKET LEAKS.
100391,"SCREW MISSING FOR RIGHT SIDE OF BAFFLING, BEHIND DIPSTICK."
100392,RIGHT #4 SIDE BAFFLE MISSING BOLTS.
100393,LEFT ENGINE #3 DRAIN HOSE CLAMP AGAINST BAFFLE.
100394,#4 INTAKE LEAKING.
100395,#2 ROCKER COVER LEAKING.
100396,CYLINDER #2 & 4 INTAKES ARE LEAKING.
100397,CYLINDER #3 AFT BAFFLE MOUNT LOOSE.
100398,#3 ROCKER COVER REQUIRES NEW GASKET.
100399,#4 INTAKE LEAKING.
100400,"SEVERE KNOCKING, VIBRATIONS ON START UP."
100401,#2 INTAKE LEAKING.
100402,CYLINDER #2 & 4 INTAKES ARE LEAKING.
100403,OIL RETURN LINE CLAMPS LOOSE.
100404,"LOOSE CABLE SAFETY BAFFLE BOLTS, CYLINDER #2."
100405,#1 & 3 CYLINDER FUEL INJ LINES STANDOFF LOOSE BY OIL FILLER TUBE.
100406,RIGHT ENGINE #4 INTAKE IS LEAKING.
100407,LEFT ENGINE #3 INTAKE IS LEAKING.
100408,LEFT ENGINE ALL 4 ROCKER COVERS ARE LEAKING.
100409,RIGHT ENGINE ALL 4 ROCKER COVERS ARE LEAKING.
100410,RIGHT ENGINE #2 & 4 ROCKER OIL RETURN LINES ARE LEAKING.
100411,REPLACE LEFT ENGINE TORQUEMETER HOSES.
100412,REPLACE RIGHT ENGINE TORQUEMETER HOSES.
100413,REPLACE LEFT ENGINE TORQUEMETER HOSES.
100414,REPLACE RIGHT ENGINE TORQUEMETER HOSES.
100415,REPLACE LEFT ENGINE TORQUEMETER HOSES.
100416,REPLACE RIGHT ENGINE TORQUEMETER HOSES.
100417,RIGHT REAR ENGINE BAFFLE SUPPORT BROKEN.
100418,LEFT FORWARD ENGINE BAFFLE CRACKED.
100419,#3 ROCKER COVER GASKET LEAKING.
100421,#3 INTAKE LEAKING.
100422,#2 ROCKER COVER LEAKING.
100423,ENGINE IS TIMED OUT.
100427,CYLINDER #3 ROCKER COVER IS LEAKING.
100428,LEFT UPPER BAFFLE FOR CYLINDER #4 PLUG HOLE IS ENLARGED.
100429,RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.
100430,#2 & 4 ROCKER COVERS ARE LEAKING.
100431,"FORWARD LOWER BAFFLE, RIGHT SIDE, IS CRACKED."
100432,#2 & 3 ROCKER COVERS LEAKING.
100433,LEFT AFT UPPER BAFFLE CRACKED.
100434,#3 INTAKE GASKET LEAKING.
100435,#2 ROCKER COVER LEAKING.
100436,#1 & 3 ROCKER COVER GASKETS LEAKING.
100437,RIGHT FORWARD BAFFLE SEAL TORN.
100438,CYLINDER #2 & 4 INTAKES ARE LEAKING.
100439,#2 CYLINDER ROCKER COVER GASKET IS LEAKING.
100440,#2 & 4 INTAKE GASKETS LEAKING.
100441,INTAKES 2 & 4 LEAKING ON LEFT ENGINE.
100442,"INTAKES 2, 3 & 4 LEAKING ON RIGHT ENGINE."
100443,#2 INDUCTION TUBE GASKET LEAKING.
100444,LEFT ENGINE MISSING SCREW & NUT ON BAFFLE BY OIL FILL TUBE.
100445,RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.
100446,#2 CYLINDER INTAKE GASKET LEAKING.
100447,#1 ROCKER COVER GASKET IS LEAKING.
100448,#3 INTAKE IS LEAKING.
100449,LEFT BACK TOP BAFFLE IS CRACKED.
100450,ENGINE IDLE @ 1700 RPM DURING SHUT DOWN. NO RISE IN RPM ON M
100451,#4 ROCKER COVER IS LEAKING.
100452,CYLINDER #3 EXTERNAL PUSH ROD TUBE SEAL LEAKING AT CASE.
100453,A/C NEEDS TO BE RUN UP & CHECKED FOR FERRY FLIGHT
100454,#2 ROCKER BOX COVER GASKET LEAKING.
100455,#4 INTAKE LEAKING.
100456,#4 CYLINDER INTAKE GASKET LEAKING.
100457,PILOT REPORTED STRONG ENGINE VIBRATION DURING STOP & GO WHIL
100458,NO RISE DURING MIXTURE CHECK.
100459,#2 INDUCTION TUBE GASKET IS LEAKING.
100460,#2 ROCKER BOX COVER GASKET IS LEAKING.
100461,#4 INTAKE IS LEAKING.
100462,LEFT BAFFLE PLUG NEEDS TO BE REPLACED.
100463,#2 INTAKE GASKET LEAKING.
100464,RIGHT BOTTOM BAFFLE WIRE SPRING IS BROKEN.
100465,AFT BAFFLE BRACKET RIVETS SHEARED.
100466,RIGHT ENGINE #3 INTAKE GASKET LEAKING.
100467,LEFT ENGINE #2 INTAKE GASKET LEAKING.
100468,#3 BAFFLE PLUG IS WORN.
100469,#1 & 4 ROCKER COVERS LEAKING.
100470,#4 INTAKE IS LEAKING.
100471,#4 CYLINDER BAFFLE IS CRACKED.
100472,#2 CYLINDER EXHAUST PUSH ROD TUBE HAS SMALL DENT.
100473,"#4 CYLINDER HAS LOW COMPRESSION, AROUND 34 PSI."
100474,#2 CYLINDER EXHAUST PUSH ROD TUBE HAS SMALL DENT.
100475,#1 INTAKE LEAKING.
100476,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100477,#1 & 3 ROCKER COVER GASKETS ARE BROKEN.
100478,#2 INTAKE GASKET LEAKING.
100479,#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.
100480,#4 INTAKE IS LEAKING.
100481,ALL 4 ROCKER COVERS ARE LEAKING.
100482,#3 INTAKE LEAKING.
100483,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100484,#2 ROCKER COVER LEAKING.
100485,LEFT ENGINE ALL INTAKES ARE LEAKING.
100486,"#3 AFT BAFFLE TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE."
100487,#4 AFT BAFFLE ATTACH PLATE BROKEN.
100488,"#3 AFT BAFFLE TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE."
100489,#2 ROCKER COVER LEAKING.
100490,#3 ROCKER COVER LEAKING.
100491,#2 INTAKE LEAKING.
100492,RIGHT AFT COWL BRACKET RIVET MISSING.
100493,#3 & 4 ROCKER COVERS LEAKING.
100494,"#1, 3 & 4 INTAKE GASKETS ARE LEAKING."
100495,"INTAKES 1, 2, 3 & 4 LEAKING."
100496,LEFT FORWARD ENGINE BAFFLE CRACKED.
