sentence1,sentence2,label
THE ENGINE GOT ROUGH IN THE AIR AND WE FOUND THE LEFT MAGNETO HAD FAILED.,ENGINE STARTED ROUGHING OUT WHILE AIRBORNE; THE RIGHT MAG WAS FOUND INOPERATIVE.,1
IN-FLIGHT ENGINE ROUGHNESS NOTED — DISCOVERED THE #2 MAGNETO NOT WORKING.,ENGINE STARTED ROUGHING OUT WHILE AIRBORNE; THE RIGHT MAG WAS FOUND INOPERATIVE.,1
LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,DURING THE LAST DAILY SHUTDOWN THE IDLE-OVERRIDE SPEED WAS CHECKED AND ENGINE RPM RECORDED.,1
LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,AT THE LAST DAILY SHUT-DOWN WE RAN AN IDLE OVERRIDE SPEED CHECK AND NOTED THE ENGINE RPM.,1
LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,LAST DAILY SHUTDOWN: IDLE OVERRIDE SPEED CHECK COMPLETED — ENGINE RPM VERIFIED.,1
LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,IDLE OVERRIDE SPEED AND ENGINE RPM WERE CHECKED DURING THE MOST RECENT DAILY SHUTDOWN.,1
DURING THE LAST DAILY SHUTDOWN THE IDLE-OVERRIDE SPEED WAS CHECKED AND ENGINE RPM RECORDED.,AT THE LAST DAILY SHUT-DOWN WE RAN AN IDLE OVERRIDE SPEED CHECK AND NOTED THE ENGINE RPM.,1
DURING THE LAST DAILY SHUTDOWN THE IDLE-OVERRIDE SPEED WAS CHECKED AND ENGINE RPM RECORDED.,LAST DAILY SHUTDOWN: IDLE OVERRIDE SPEED CHECK COMPLETED — ENGINE RPM VERIFIED.,1
DURING THE LAST DAILY SHUTDOWN THE IDLE-OVERRIDE SPEED WAS CHECKED AND ENGINE RPM RECORDED.,IDLE OVERRIDE SPEED AND ENGINE RPM WERE CHECKED DURING THE MOST RECENT DAILY SHUTDOWN.,1
AT THE LAST DAILY SHUT-DOWN WE RAN AN IDLE OVERRIDE SPEED CHECK AND NOTED THE ENGINE RPM.,LAST DAILY SHUTDOWN: IDLE OVERRIDE SPEED CHECK COMPLETED — ENGINE RPM VERIFIED.,1
AT THE LAST DAILY SHUT-DOWN WE RAN AN IDLE OVERRIDE SPEED CHECK AND NOTED THE ENGINE RPM.,IDLE OVERRIDE SPEED AND ENGINE RPM WERE CHECKED DURING THE MOST RECENT DAILY SHUTDOWN.,1
LAST DAILY SHUTDOWN: IDLE OVERRIDE SPEED CHECK COMPLETED — ENGINE RPM VERIFIED.,IDLE OVERRIDE SPEED AND ENGINE RPM WERE CHECKED DURING THE MOST RECENT DAILY SHUTDOWN.,1
OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,OIL WAS OBSERVED ALONG THE ENTIRE RIGHT SIDE OF THE FUSELAGE.,1
OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,FOUND OIL ALL DOWN THE LEFT SIDE OF THE FUSELAGE.,1
OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,THE WHOLE RIGHT-HAND SIDE OF THE FUSELAGE IS CONTAMINATED WITH OIL.,1
OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,OIL COATING DETECTED ACROSS THE FULL LENGTH OF THE FUSELAGE LEFT SIDE.,1
OIL WAS OBSERVED ALONG THE ENTIRE RIGHT SIDE OF THE FUSELAGE.,FOUND OIL ALL DOWN THE LEFT SIDE OF THE FUSELAGE.,1
OIL WAS OBSERVED ALONG THE ENTIRE RIGHT SIDE OF THE FUSELAGE.,THE WHOLE RIGHT-HAND SIDE OF THE FUSELAGE IS CONTAMINATED WITH OIL.,1
OIL WAS OBSERVED ALONG THE ENTIRE RIGHT SIDE OF THE FUSELAGE.,OIL COATING DETECTED ACROSS THE FULL LENGTH OF THE FUSELAGE LEFT SIDE.,1
FOUND OIL ALL DOWN THE LEFT SIDE OF THE FUSELAGE.,THE WHOLE RIGHT-HAND SIDE OF THE FUSELAGE IS CONTAMINATED WITH OIL.,1
FOUND OIL ALL DOWN THE LEFT SIDE OF THE FUSELAGE.,OIL COATING DETECTED ACROSS THE FULL LENGTH OF THE FUSELAGE LEFT SIDE.,1
THE WHOLE RIGHT-HAND SIDE OF THE FUSELAGE IS CONTAMINATED WITH OIL.,OIL COATING DETECTED ACROSS THE FULL LENGTH OF THE FUSELAGE LEFT SIDE.,1
BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,BAFFLE SEALS BENEATH BOTH PROP GOVERNORS ARE LOOSE AND NEED ATTENTION.,1
BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,BOTH PROP-GOVERNOR BAFFLE SEALS WERE FOUND LOOSE DURING INSPECTION.,1
BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,LOOSE BAFFLE SEALS UNDER THE TWO PROP GOVERNORS REQUIRE SECURING.,1
BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,FOUND THE BAFFLE SEALS UNDER EACH PROP GOVERNOR TO BE LOOSE.,1
BAFFLE SEALS BENEATH BOTH PROP GOVERNORS ARE LOOSE AND NEED ATTENTION.,BOTH PROP-GOVERNOR BAFFLE SEALS WERE FOUND LOOSE DURING INSPECTION.,1
BAFFLE SEALS BENEATH BOTH PROP GOVERNORS ARE LOOSE AND NEED ATTENTION.,LOOSE BAFFLE SEALS UNDER THE TWO PROP GOVERNORS REQUIRE SECURING.,1
BAFFLE SEALS BENEATH BOTH PROP GOVERNORS ARE LOOSE AND NEED ATTENTION.,FOUND THE BAFFLE SEALS UNDER EACH PROP GOVERNOR TO BE LOOSE.,1
BOTH PROP-GOVERNOR BAFFLE SEALS WERE FOUND LOOSE DURING INSPECTION.,LOOSE BAFFLE SEALS UNDER THE TWO PROP GOVERNORS REQUIRE SECURING.,1
BOTH PROP-GOVERNOR BAFFLE SEALS WERE FOUND LOOSE DURING INSPECTION.,FOUND THE BAFFLE SEALS UNDER EACH PROP GOVERNOR TO BE LOOSE.,1
LOOSE BAFFLE SEALS UNDER THE TWO PROP GOVERNORS REQUIRE SECURING.,FOUND THE BAFFLE SEALS UNDER EACH PROP GOVERNOR TO BE LOOSE.,1
"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",A SMALL CRACK WAS FOUND IN THE FORWARD INBOARD BAFFLE OF THE RIGHT ENGINE.,1
"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",FOUND A TINY SPLIT IN THE FORWARD I/B BAFFLE ON THE LEFT ENGINE DURING INSPECTION.,1
"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",THE #2 ENGINE FORWARD INBOARD BAFFLE SHOWS A MINOR CRACK.,1
"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",FORWARD INBOARD BAFFLE ON #1 ENGINE HAS A SMALL CRACK NOTED.,1
A SMALL CRACK WAS FOUND IN THE FORWARD INBOARD BAFFLE OF THE RIGHT ENGINE.,FOUND A TINY SPLIT IN THE FORWARD I/B BAFFLE ON THE LEFT ENGINE DURING INSPECTION.,1
A SMALL CRACK WAS FOUND IN THE FORWARD INBOARD BAFFLE OF THE RIGHT ENGINE.,THE #2 ENGINE FORWARD INBOARD BAFFLE SHOWS A MINOR CRACK.,1
A SMALL CRACK WAS FOUND IN THE FORWARD INBOARD BAFFLE OF THE RIGHT ENGINE.,FORWARD INBOARD BAFFLE ON #1 ENGINE HAS A SMALL CRACK NOTED.,1
FOUND A TINY SPLIT IN THE FORWARD I/B BAFFLE ON THE LEFT ENGINE DURING INSPECTION.,THE #2 ENGINE FORWARD INBOARD BAFFLE SHOWS A MINOR CRACK.,1
FOUND A TINY SPLIT IN THE FORWARD I/B BAFFLE ON THE LEFT ENGINE DURING INSPECTION.,FORWARD INBOARD BAFFLE ON #1 ENGINE HAS A SMALL CRACK NOTED.,1
THE #2 ENGINE FORWARD INBOARD BAFFLE SHOWS A MINOR CRACK.,FORWARD INBOARD BAFFLE ON #1 ENGINE HAS A SMALL CRACK NOTED.,1
FELT ON #1 & 3 BAFFLE COMING LOOSE.,FELT THE BAFFLE ON ENGINE #2 COMING LOOSE DURING INSPECTION.,1
FELT ON #1 & 3 BAFFLE COMING LOOSE.,I COULD FEEL THE RIGHT BAFFLE ON ENGINE 1 STARTING TO COME OFF.,1
FELT ON #1 & 3 BAFFLE COMING LOOSE.,BOTH BAFFLES ON ENGINES #3 AND #4 FELT LIKE THEY WERE COMING LOOSE WHEN CHECKED.,1
FELT ON #1 & 3 BAFFLE COMING LOOSE.,"WHILE CHECKING, THE LEFT-SIDE BAFFLE ON ENGINE 2 SEEMED LOOSE TO THE TOUCH.",1
FELT THE BAFFLE ON ENGINE #2 COMING LOOSE DURING INSPECTION.,I COULD FEEL THE RIGHT BAFFLE ON ENGINE 1 STARTING TO COME OFF.,1
FELT THE BAFFLE ON ENGINE #2 COMING LOOSE DURING INSPECTION.,BOTH BAFFLES ON ENGINES #3 AND #4 FELT LIKE THEY WERE COMING LOOSE WHEN CHECKED.,1
FELT THE BAFFLE ON ENGINE #2 COMING LOOSE DURING INSPECTION.,"WHILE CHECKING, THE LEFT-SIDE BAFFLE ON ENGINE 2 SEEMED LOOSE TO THE TOUCH.",1
I COULD FEEL THE RIGHT BAFFLE ON ENGINE 1 STARTING TO COME OFF.,BOTH BAFFLES ON ENGINES #3 AND #4 FELT LIKE THEY WERE COMING LOOSE WHEN CHECKED.,1
I COULD FEEL THE RIGHT BAFFLE ON ENGINE 1 STARTING TO COME OFF.,"WHILE CHECKING, THE LEFT-SIDE BAFFLE ON ENGINE 2 SEEMED LOOSE TO THE TOUCH.",1
BOTH BAFFLES ON ENGINES #3 AND #4 FELT LIKE THEY WERE COMING LOOSE WHEN CHECKED.,"WHILE CHECKING, THE LEFT-SIDE BAFFLE ON ENGINE 2 SEEMED LOOSE TO THE TOUCH.",1
FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,A LEAK WAS FOUND AT THE FORWARD PUSHROD SEAL ON ENGINE CYLINDER NO. 2.,1
FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,THE FORWARD PUSH-ROD SEAL ON CYLINDER 4 IS LEAKING.,1
FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,FORWARD PUSHROD SEAL LEAKING AT THE ENGINE'S #1 CYLINDER.,1
FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,FOUND LEAKAGE AT THE FORWARD PUSHROD SEAL OF THE ENGINE ON CYLINDER 3.,1
A LEAK WAS FOUND AT THE FORWARD PUSHROD SEAL ON ENGINE CYLINDER NO. 2.,THE FORWARD PUSH-ROD SEAL ON CYLINDER 4 IS LEAKING.,1
A LEAK WAS FOUND AT THE FORWARD PUSHROD SEAL ON ENGINE CYLINDER NO. 2.,FORWARD PUSHROD SEAL LEAKING AT THE ENGINE'S #1 CYLINDER.,1
A LEAK WAS FOUND AT THE FORWARD PUSHROD SEAL ON ENGINE CYLINDER NO. 2.,FOUND LEAKAGE AT THE FORWARD PUSHROD SEAL OF THE ENGINE ON CYLINDER 3.,1
THE FORWARD PUSH-ROD SEAL ON CYLINDER 4 IS LEAKING.,FORWARD PUSHROD SEAL LEAKING AT THE ENGINE'S #1 CYLINDER.,1
THE FORWARD PUSH-ROD SEAL ON CYLINDER 4 IS LEAKING.,FOUND LEAKAGE AT THE FORWARD PUSHROD SEAL OF THE ENGINE ON CYLINDER 3.,1
FORWARD PUSHROD SEAL LEAKING AT THE ENGINE'S #1 CYLINDER.,FOUND LEAKAGE AT THE FORWARD PUSHROD SEAL OF THE ENGINE ON CYLINDER 3.,1
BAFFLE SEAL HAS HOLE IN IT.,A HOLE WAS FOUND IN THE BAFFLE SEAL DURING INSPECTION.,1
BAFFLE SEAL HAS HOLE IN IT.,THE BAFFLE’S SEAL HAS A PUNCTURE AND NEEDS ATTENTION.,1
BAFFLE SEAL HAS HOLE IN IT.,BAFFLE SEAL COMPROMISED — VISIBLE HOLE PRESENT.,1
BAFFLE SEAL HAS HOLE IN IT.,THERE IS A HOLE IN THE BAFFLE SEAL THAT REQUIRES REPLACEMENT.,1
A HOLE WAS FOUND IN THE BAFFLE SEAL DURING INSPECTION.,THE BAFFLE’S SEAL HAS A PUNCTURE AND NEEDS ATTENTION.,1
A HOLE WAS FOUND IN THE BAFFLE SEAL DURING INSPECTION.,BAFFLE SEAL COMPROMISED — VISIBLE HOLE PRESENT.,1
A HOLE WAS FOUND IN THE BAFFLE SEAL DURING INSPECTION.,THERE IS A HOLE IN THE BAFFLE SEAL THAT REQUIRES REPLACEMENT.,1
THE BAFFLE’S SEAL HAS A PUNCTURE AND NEEDS ATTENTION.,BAFFLE SEAL COMPROMISED — VISIBLE HOLE PRESENT.,1
THE BAFFLE’S SEAL HAS A PUNCTURE AND NEEDS ATTENTION.,THERE IS A HOLE IN THE BAFFLE SEAL THAT REQUIRES REPLACEMENT.,1
BAFFLE SEAL COMPROMISED — VISIBLE HOLE PRESENT.,THERE IS A HOLE IN THE BAFFLE SEAL THAT REQUIRES REPLACEMENT.,1
CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,AFT BAFFLE MOUNT ON CYLINDER #3 IS LOOSE.,1
CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,REAR BAFFLE MOUNTING BRACKET ON CYL #2 FOUND LOOSE.,1
CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,CYLINDER #4 AFT BAFFLE MOUNT NOT SECURE.,1
CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,FOUND THE AFT BAFFLE MOUNT LOOSE ON CYL 1.,1
AFT BAFFLE MOUNT ON CYLINDER #3 IS LOOSE.,REAR BAFFLE MOUNTING BRACKET ON CYL #2 FOUND LOOSE.,1
AFT BAFFLE MOUNT ON CYLINDER #3 IS LOOSE.,CYLINDER #4 AFT BAFFLE MOUNT NOT SECURE.,1
AFT BAFFLE MOUNT ON CYLINDER #3 IS LOOSE.,FOUND THE AFT BAFFLE MOUNT LOOSE ON CYL 1.,1
REAR BAFFLE MOUNTING BRACKET ON CYL #2 FOUND LOOSE.,CYLINDER #4 AFT BAFFLE MOUNT NOT SECURE.,1
REAR BAFFLE MOUNTING BRACKET ON CYL #2 FOUND LOOSE.,FOUND THE AFT BAFFLE MOUNT LOOSE ON CYL 1.,1
CYLINDER #4 AFT BAFFLE MOUNT NOT SECURE.,FOUND THE AFT BAFFLE MOUNT LOOSE ON CYL 1.,1
OIL RETURN LINE CLAMPS LOOSE.,THE CLAMPS SECURING THE OIL RETURN LINE ARE LOOSE.,1
OIL RETURN LINE CLAMPS LOOSE.,FOUND LOOSE CLAMPS ON THE OIL RETURN LINE DURING INSPECTION.,1
OIL RETURN LINE CLAMPS LOOSE.,OIL RETURN HOSE CLAMPS ARE NOT TIGHT AND NEED RETIGHTENING.,1
OIL RETURN LINE CLAMPS LOOSE.,THE RETURN OIL LINE HAS LOOSENED CLAMPS THAT REQUIRE TORQUEING.,1
THE CLAMPS SECURING THE OIL RETURN LINE ARE LOOSE.,FOUND LOOSE CLAMPS ON THE OIL RETURN LINE DURING INSPECTION.,1
THE CLAMPS SECURING THE OIL RETURN LINE ARE LOOSE.,OIL RETURN HOSE CLAMPS ARE NOT TIGHT AND NEED RETIGHTENING.,1
THE CLAMPS SECURING THE OIL RETURN LINE ARE LOOSE.,THE RETURN OIL LINE HAS LOOSENED CLAMPS THAT REQUIRE TORQUEING.,1
FOUND LOOSE CLAMPS ON THE OIL RETURN LINE DURING INSPECTION.,OIL RETURN HOSE CLAMPS ARE NOT TIGHT AND NEED RETIGHTENING.,1
FOUND LOOSE CLAMPS ON THE OIL RETURN LINE DURING INSPECTION.,THE RETURN OIL LINE HAS LOOSENED CLAMPS THAT REQUIRE TORQUEING.,1
OIL RETURN HOSE CLAMPS ARE NOT TIGHT AND NEED RETIGHTENING.,THE RETURN OIL LINE HAS LOOSENED CLAMPS THAT REQUIRE TORQUEING.,1
RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,THE RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,1
RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,FOUND THE LEFT INNER-CYLINDER BAFFLE TIE-ROD FITTED WRONG DURING THE INSPECTION.,1
RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,TIE ROD ON THE #2 INNER CYLINDER BAFFLE WAS INSTALLED IMPROPERLY.,1
RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,INNER BAFFLE TIE ROD FOR THE #3 CYLINDER ON THE RIGHT SIDE IS MISALIGNED AND INSTALLED WRONG.,1
THE RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,FOUND THE LEFT INNER-CYLINDER BAFFLE TIE-ROD FITTED WRONG DURING THE INSPECTION.,1
THE RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,TIE ROD ON THE #2 INNER CYLINDER BAFFLE WAS INSTALLED IMPROPERLY.,1
THE RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,INNER BAFFLE TIE ROD FOR THE #3 CYLINDER ON THE RIGHT SIDE IS MISALIGNED AND INSTALLED WRONG.,1
FOUND THE LEFT INNER-CYLINDER BAFFLE TIE-ROD FITTED WRONG DURING THE INSPECTION.,TIE ROD ON THE #2 INNER CYLINDER BAFFLE WAS INSTALLED IMPROPERLY.,1
FOUND THE LEFT INNER-CYLINDER BAFFLE TIE-ROD FITTED WRONG DURING THE INSPECTION.,INNER BAFFLE TIE ROD FOR THE #3 CYLINDER ON THE RIGHT SIDE IS MISALIGNED AND INSTALLED WRONG.,1
TIE ROD ON THE #2 INNER CYLINDER BAFFLE WAS INSTALLED IMPROPERLY.,INNER BAFFLE TIE ROD FOR THE #3 CYLINDER ON THE RIGHT SIDE IS MISALIGNED AND INSTALLED WRONG.,1
RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,RIGHT ENGINE #3 BAFFLE CRACKED AT THE CONTACT POINT WITH THE UPPER #1 BAFFLE ATTACHMENT.,1
RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,FOUND A CRACK IN THE LEFT ENGINE’S #2 BAFFLE WHERE THE UPPER #1 BAFFLE ATTACH POINT CONTACTED IT.,1
RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,THE #4 BAFFLE ON THE RIGHT ENGINE IS CRACKED BY THE UPPER #2 BAFFLE ATTACHMENT.,1
RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,"UPPER #1 BAFFLE ATTACHMENT DAMAGED THE #3 BAFFLE ON THE LEFT ENGINE, CAUSING A VISIBLE CRACK.",1
RIGHT ENGINE #3 BAFFLE CRACKED AT THE CONTACT POINT WITH THE UPPER #1 BAFFLE ATTACHMENT.,FOUND A CRACK IN THE LEFT ENGINE’S #2 BAFFLE WHERE THE UPPER #1 BAFFLE ATTACH POINT CONTACTED IT.,1
RIGHT ENGINE #3 BAFFLE CRACKED AT THE CONTACT POINT WITH THE UPPER #1 BAFFLE ATTACHMENT.,THE #4 BAFFLE ON THE RIGHT ENGINE IS CRACKED BY THE UPPER #2 BAFFLE ATTACHMENT.,1
RIGHT ENGINE #3 BAFFLE CRACKED AT THE CONTACT POINT WITH THE UPPER #1 BAFFLE ATTACHMENT.,"UPPER #1 BAFFLE ATTACHMENT DAMAGED THE #3 BAFFLE ON THE LEFT ENGINE, CAUSING A VISIBLE CRACK.",1
FOUND A CRACK IN THE LEFT ENGINE’S #2 BAFFLE WHERE THE UPPER #1 BAFFLE ATTACH POINT CONTACTED IT.,THE #4 BAFFLE ON THE RIGHT ENGINE IS CRACKED BY THE UPPER #2 BAFFLE ATTACHMENT.,1
FOUND A CRACK IN THE LEFT ENGINE’S #2 BAFFLE WHERE THE UPPER #1 BAFFLE ATTACH POINT CONTACTED IT.,"UPPER #1 BAFFLE ATTACHMENT DAMAGED THE #3 BAFFLE ON THE LEFT ENGINE, CAUSING A VISIBLE CRACK.",1
THE #4 BAFFLE ON THE RIGHT ENGINE IS CRACKED BY THE UPPER #2 BAFFLE ATTACHMENT.,"UPPER #1 BAFFLE ATTACHMENT DAMAGED THE #3 BAFFLE ON THE LEFT ENGINE, CAUSING A VISIBLE CRACK.",1
#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,ROCKER COVER GASKET LEAKING ON CYLINDERS #2 AND #3.,1
#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,FOUND OIL SEEPING FROM THE #1 AND #4 CYLINDER ROCKER COVER GASKETS.,1
#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,LEAK OBSERVED AT THE CYLINDER 3 ROCKER-COVER GASKET DURING INSPECTION.,1
#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,CYLINDER 2'S ROCKER COVER GASKET IS LEAKING OIL.,1
ROCKER COVER GASKET LEAKING ON CYLINDERS #2 AND #3.,FOUND OIL SEEPING FROM THE #1 AND #4 CYLINDER ROCKER COVER GASKETS.,1
ROCKER COVER GASKET LEAKING ON CYLINDERS #2 AND #3.,LEAK OBSERVED AT THE CYLINDER 3 ROCKER-COVER GASKET DURING INSPECTION.,1
ROCKER COVER GASKET LEAKING ON CYLINDERS #2 AND #3.,CYLINDER 2'S ROCKER COVER GASKET IS LEAKING OIL.,1
FOUND OIL SEEPING FROM THE #1 AND #4 CYLINDER ROCKER COVER GASKETS.,LEAK OBSERVED AT THE CYLINDER 3 ROCKER-COVER GASKET DURING INSPECTION.,1
FOUND OIL SEEPING FROM THE #1 AND #4 CYLINDER ROCKER COVER GASKETS.,CYLINDER 2'S ROCKER COVER GASKET IS LEAKING OIL.,1
LEAK OBSERVED AT THE CYLINDER 3 ROCKER-COVER GASKET DURING INSPECTION.,CYLINDER 2'S ROCKER COVER GASKET IS LEAKING OIL.,1
#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,OIL RETURN LINE ON CYLINDER NO. 3 IS LEAKING AT THE RUBBER HOSE SECTION.,1
#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,FOUND OIL SEEPING FROM THE RUBBER HOSE OF CYLINDER #2’S RETURN LINE.,1
#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,LEAK DETECTED IN THE OIL RETURN HOSE SECTION OF CYLINDER 4.,1
#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,CYLINDER 1 OIL RETURN LINE HAS A LEAK AT THE FLEXIBLE RUBBER HOSE.,1
OIL RETURN LINE ON CYLINDER NO. 3 IS LEAKING AT THE RUBBER HOSE SECTION.,FOUND OIL SEEPING FROM THE RUBBER HOSE OF CYLINDER #2’S RETURN LINE.,1
OIL RETURN LINE ON CYLINDER NO. 3 IS LEAKING AT THE RUBBER HOSE SECTION.,LEAK DETECTED IN THE OIL RETURN HOSE SECTION OF CYLINDER 4.,1
