Grupo,Frase,Tipo
271,ENGINE OVER RIDE SPEED WAS 1225 RPM.,orig
282,CYLINDER #3 INTAKE PIPE NEEDS TO BE RESWEDGED INTO SUMP.,orig
287,RIGHT ENGINE #1 & 3 BAFFLE TIE ROD SPACER LOOSE.,orig
288,LEFT ENGINE SNIFFLER VALVE HOSE ADEL CLAMP RUBBER IS WORN OUT.,orig
295,ENGINE QUIT WHEN THROTTLE WAS CLOSED DURING SHUT DOWN PRIOR,orig
300,FORWARD BAFFLE IS CHAFING ON EXTERNAL SHROUD.,orig
309,"DURING FLIGHT, RIGHT COWL FLAP WOULD NOT STAY OPEN.",orig
320,REAR BAFFLE BRACKET AT ENGINE CENTER BROKEN AT BOLT.,orig
353,EXHAUST GAS TEMPERATURE  CYLINDER #1 CLAMP LOOSE.,orig
367,ALL VALVE COVERS LEAKING.,orig
368,ENGINE RPM OF 2720.,orig
370,CYLINDER #2 EXHAUST TUBE ELBOW TOP BOLT NEEDS TO BE RECOTTER PINN,orig
372,LEFT COOLING BAFFLE CONNECTING ROD BROKEN.,orig
373,RIGHT CYLINDER COOLING BAFFLE CONTACTING OIL RETURN LINE.,orig
385,CYLINDER #1 INTAKE GASKET IS ELAKING.,orig
403,CYLINDER #1 & 3 SIDE BAFFLE BOLT IS LOOSE.,orig
410,"AFTER 20"" MANIFOLD PRESSURE, APPLIED FULL THROTTLE, STARTED",orig
412,AIR INDUCTION ELBOW TO SERVO BOOT IS WEEPING FUEL.,orig
413,#3 CYLINDER ROCKER GASKET SEEPING.,orig
415,COWL SHOCK MOUNT #7 DAMAGED.,orig
441,RIGHT AFT BAFFLE PLUG BAD.,orig
465,"ENGINE COOLING BAFFLE CRACKED, FRONT LEFT SIDE, RIGHT ENGINE.",orig
469,LEFT ENGINE #2 PRIMER LNE CLAMP NEEDS TO BE REPOSITIONED.,orig
473,LEFT ENGINE #2 EXHAUST GAS TEMPERATURE  INOPERABLE.,orig
476,#4 SPARK PLUG ACCESS HOLE ON BAFFLE REQUIRES PATCH.,orig
492,FUEL LINE SUPPORT BRACKET AT BAFFLE SUPPORT LOOSE.,orig
495,"CRACK IN ENGINE COWLING BAFFLE, #1 CYLINDER.",orig
498,COWL SEAL BY #2 CYLINDER NEEDS TO BE REATTCHED TO BAFFLING.,orig
511,RIGHT SIDE ENGINE BAFFLING CONECTION WIRE BROKEN.,orig
543,ENGINE OIL COOLER CAN BE CLEANED EXTERNALLY.,orig
567,"RIGHT ENGINE BAFFLE, BETWEEN #2 & 4 CYLINDER, REQ REWORK.",orig
573,LOWER CLAMPS LOOSE ON RIGHT ENGINE #4 INTAKE.,orig
577,"BETWEEN #2 & 4 CYLDERS, SPIRAL WRAP MELTED.",orig
590,ALL CYLINDER DRAIN LINE B' NUTS ARE LOOSE.,orig
595,SMALL FOREIGN OBJECT DAMAGE ON TOP OF #3 CYLINDER,orig
605,FORWARD BAFFLE SEALS HAVE WORN SPOTS.,orig
627,#3 & 4 CYLINDER WERE REMOVED BY OFF SITE MAINTENANCE.,orig
629,"ZERO COMPRESSION ON #1 CYLINDER. LEAKING FROM EXHAUST VALVE,",orig
642,ALUM FITTINGS FOR OIL COOLER OK?,orig
657,#3 & 4 SIDE BAFFLE SEALS ARE WORN.,orig
665,LEFT ENGINE BACK BONE LEAKING OIL IN MIDDLE.,orig
667,BATTERY BOX BRACKET CRACKED.,orig
675,RIGHT FORWARD BAFFLE MATERIAL LOOSE.,orig
680,INTER BAFFLE ROD FASTENER BROKEN.,orig
681,SPRING CONNECTOR BETWEEN #1 & 3 CYLINDER BAFFLES IS BROKEN.,orig
692,#3 CYLINDER INTAKE FEELS LOOSE.,orig
703,FRONT ENGINE OIL SEAL LEAKING.,orig
710,"CRACKS IN BAFFLE, FORWARD RIGHT SIDE.",orig
715,RIGHT BAFFLE PLUG LOOSE.,orig
718,"ENGINE QUIT AT IDLE, LOW RPM DURING TAXI, SMALL ADJUSTMENTS",orig
721,SCREW MISSING ON #1 OUTER CYLINDER BAFFLING.,orig
726,#4 CYLINDER BAFFLE INSP HOLE DOUBLER REQUIRED.,orig
731,"COWL SEAL, ABOVE #3 CYLINDER BAFFLE, FELL OFF RIVET.",orig
736,FOUND BROKEN COVER SCREW ON GROUND.,orig
739,"UPON RUN UP, ROUGH MAGNETOS & NOT WITHIN TOLERANCE. RAN FOULED PROC",orig
742,#3 AFT BAFFLE SCREW APPEARS TO BE LOOSE BEHIND DIPSTICK TUBE,orig
747,FORWARD LOWER SEAL ON BAFFLING WORN AT AIR INTAKE.,orig
759,"1 FIRST STAGE COMPRESSOR BLADE HAS DAMAGE, NEAR TIP.",orig
761,"LEFT & RIGHT ENGINE FIREWALLS NEED TO BE SEALED, WHERE ENGINE CONTROL",orig
765,DAMAGED GROMMET FOR OIL PRESSURE SWITCH WIRE HARNESS THROUGH,orig
767,"DURING CRUISE, RPM OVERSPED, HIGHEST NUMBER SEEN WAS 2740. N",orig
771,"FORWARD BAFFLE SEAL WORN, BY AIR FILTER.",orig
772,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL.",orig
798,SOME ROCKER COVER SCREWS LOOSE.,orig
802,"#1 CYLINDER COMPRESSION LOW, 25LBS. COMING FROM EXHAUST",orig
810,PILOT REPORTED THAT CYLINDER #1 FORWARD BAFFLE SEAL NEEDED TO BE LOOK,orig
826,LEFT ENGINE #4 REAR BAFFLE HAS SMALL CRACK & BAFFLE SEAL TORN,orig
853,"FAILED MAGNETOS CHECK ON RUN UP. TRIED FOULED PLUG PROCEDURE, RPM WA",orig
891,VACUUM PUMP HAS POSSIBLE OIL LEAK.,orig
893,RIGHT UPPER BAFFLING BETWEEN #1 & 3 CYLINDER HAS WORN STAPLE.,orig
896,WRENCH BY ACCESORY CASE,orig
902,BAFFLE TIE WIRES NOT SECURED.,orig
917,LOWER BLACK SEAL ABOVE INTAKE WORN SPOTS.,orig
919,2 BAFFLE TIE RODS NEED TO BE REPLACED.,orig
929,AT FULL THROTTLE; THERE WAS ENGINE ROUGHNESS.,orig
934,LEFT ENGINE BAFFLE BY ROCKER COVERS CRACKED.,orig
955,#2 LOWER INTAKE CLAMP LOOSE.,orig
958,OIL SEEPING FROM TOP OF CASE HALVES.,orig
966,#1 & 4 ROCKER BOX COVERS SEEPING ON LEFT ENGINE.,orig
993,FORWARD BAFFLE SEAL WORN BY ENGINE INTAKE.,orig
998,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,orig
999,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R",orig
1011,PATCH ON RIGHT UPPER BAFFLE HAS SMALL CRACK.,orig
1014,BAFFLE SEAL STAPLES LOOSE ON #1 CYLINDER BAFFLE SECTION.,orig
1019,"#1-3 BAFFLE TIE WIRE LOOSE, RUBBING #1 DRAIN TUBE.",orig
1020,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU",orig
1031,FRONT SEAL LOOSE & HAS WORN SPOTS (BAFFLE SEAL).,orig
1034,OIL COOLER BOLT REMOVED,orig
1070,"BLACK BAFFLE SEAL, FORWARD ENGINE, HAS SMALL WORN SPOT ON LEFT SIDE.",orig
1092,#3 BAFFLE NEEDS TO BE PATCHED. BUTTON PLUG HOLE HAS WORN TOO,orig
1115,OIL PRESSURE SENDER GROUND STRAP NOT CONNECTED.,orig
1124,LEFT INNER ENGINE BAFFLE TIE IS DISCONNECTED.,orig
1125,"ENGINE RAN ROUGH AFTER START UP, W/ GAINS & DROPS OF ABOUT 8",orig
1130,RIGHT AIR INTAKE HOSE NOT HOOKED UP.,orig
1145,ALTERNATE AIR DOOR SPRING IS WEAK.,orig
1150,REACHED 2720 RPM FOR ABOUT 2 SECONDS.,orig
1175,"DURING ENGINE START & ENGINE RUNNING, THERE WERE VIBRATION S",orig
1196,ALL INTAKE GASKETS NEED TO BE REPLACED.,orig
1218,EVIDENCE OF CARBURETOR FIRE ON LEFT CARBURETOR AIRBOX.,orig
1221,RPM 2740 FOR 1-3 SECONDS.,orig
1222,"OIL LEAK AT RIGHT ENGINE BACK BONE, AFT BOLT.",orig
1225,ENGINE COWL CAM LOCK LOOSE.,orig
1240,"RIGHT FORWARD BAFFLE SECTION, ABOVE #1 CYLINDER, HAS DAMAGED NUTPLATES.",orig
1252,"DURING POWER ON STALL, @ FULL THROTTLE, THERE WAS A LOUD TAP",orig
1272,ENGINE STARTED MAKING ABNORMAL SOUND IN FLIGHT. ABNORMAL VIB,orig
1299,"DURING START UP, ENGINE STARTED BUT RAN VERY ROUGH & WOULD N",orig
1308,COMPRESSOR WASH REQUIRED.,orig
1321,LOWER BOLT (O/B) FOR OIL COOLER FLANGE LOOSE CRACKED.,orig
1340,"CYLINDER #1, 3 ROCKER DRAIN LINES LEAKING.",orig
1341,ENGINE CHANGE REQUIRED.,orig
1354,BLACK FORWARD SEAL WEAR SPOTS FROM INTAKE.,orig
1372,RIGHT ENGINE RAN ROUGH IN CLIMB & CRUISE. SHUT OFF LEFT MAGNETOS ON,orig
1377,SCREW BEHIND OIL TUBE FILTER LOOSE.,orig
1385,ENGINE OVERSPEED 2750 AT PEAK.,orig
1388,RIGHT REAR BAFFLE MISSING GROMMET.,orig
1398,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,orig
1402,BAFFLE SEALS ON RIGHT SIDE ARE TORN.,orig
1418,MISSING SCREW ON #3 ROCKER COVER.,orig
1422,"RIVET PULLED THROUGH BAFFLE SEAL, #1 CYLINDER.",orig
1433,#2 CYLINDER EXHAUST PUSH ROD TUBE HAS SMALL DENT.,orig
1440,IDLE RPM IS LOW.,orig
1443,"ENGINE BAFFLING CRACKED, RIGHT SIDE, ABOVE #1 CYLINDER.",orig
1448,A/C WON'T START.,orig
1453,ENGINE IS DIRTY.,orig
1504,"OIL LEAK ON RIGHT ENGINE, BACK BONE CASE SEAM.",orig
1518,"ENGINE OVERSPEED, 3275 RPM.",orig
1529,CRACK NOTED ON TOP OF #2 CYLINDER BAFFLING.,orig
1538,2 & 4 CYLINDER INNER BAFFLE CONNECTOR ROD IS BROKEN.,orig
1541,BAFFLE CONNECTION ROD LOOSE ON #1 & 3 CYLINDER OF LEFT ENGINE.,orig
1542,LEFT ENGINE #4 CYLINDER DEAD.,orig
1550,FORWARD BLACK ENGINE SEAL WORN.,orig
1559,RIGHT ENGINE CRANKCASE LIFTING EYEBOLT LEAKING OIL.,orig
1573,"LOWER BLACK SEAL ON ENGINE, WORN AT ENGINE INTAKE.",orig
1585,"#3 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .034"").",orig
1589,RIGHT ENGINE #3 CYLINDER HAS NO COMPRESSION.,orig
1606,RIGHT ENGINE BACKBONE BOLT LEAKS A LITTLE OIL.,orig
1621,RIGHT ENGINE #4 CYLINDER COMPRESSION 40/80.,orig
6,"Cracked air baffle detected on the right engine, #4.",var
6,Found a crack in the left engine’s #3 air baffle during inspection.,var
6,The air baffle on engine #2 (right side) shows a crack.,var
6,Left engine #4 air baffle is cracked.,var
7,The forward alternator attach bolt on the right engine was found loose.,var
7,Found the alternator forward mounting bolt loose on the left engine.,var
7,On engine #2 the forward bolt that secures the alternator is loose.,var
7,No. 1 engine forward alternator attach bolt is loose.,var
16,"After landing, A/C idle at 970 RPM.",var
16,Upon touchdown the airplane remained idling around 960 rpm.,var
16,"Post-landing, engine idle speed was recorded at approximately 980 RPM.",var
16,After rollout the a/c settled to an idle near 975 r/min.,var
22,The top front right baffle seal rivet has pulled through the baffle.,var
22,"On the top-front left baffle, the seal rivet worked its way through the material.",var
22,Found the seal rivet pulled through on the top front #1 baffle; seal compromised.,var
22,Inspection revealed the top front right baffle rivet torn through the seal.,var
23,Engine ran rough at start but smoothed out as it warmed up.,var
23,"Engine was shaky on startup, then settled once it came up to temperature.",var
23,Rough running observed at initial start; engine ran smoother as temperature rose.,var
23,On start the engine ran rough and became smoother as it warmed.,var
30,The cylinder head temperature (CHT) gauge needle was bouncing and the engine ran rough briefly.,var
30,The CHT needle kept jumping around and the engine stumbled for a moment.,var
30,Observed erratic cylinder head temperature indications; engine experienced a short rough run.,var
30,A momentary roughness occurred while the cylinder head temperature needle fluctuated.,var
44,Lacing cord loose on SCAT tubing and on the ignition lead to the aircraft frame on the right side.,var
44,Found the lacing cord slack around the SCAT hose and the ignition lead to the frame on the left side.,var
44,The SCAT tubing and ignition lead to the frame have a loose lacing cord at the right-hand side.,var
44,Lacing cord unsecured on SCAT conduit and ignition wire to frame; secure on left side.,var
56,Right-side aft back baffle is cracked and the bracket rivets are broken.,var
56,"A crack was found in the back baffle on the right, with the bracket rivets sheared off.",var
56,The left back baffle shows a crack and the bracket rivets are fractured.,var
56,"Found the rear baffle on the right side split, and the bracket rivets have failed.",var
66,The spark plug baffle plug is worn and needs replacement.,var
66,Found the baffle plug on the spark plug showing heavy wear.,var
66,Spark plug baffle plug shows signs of deterioration.,var
66,The baffle plug for the spark plug is worn out and should be changed.,var
111,The 4th-stage nozzle has several cracks in it.,var
111,Several cracks were found in the 3rd stage nozzle during inspection.,var
111,Multiple fractures detected in the 5th-stage nozzle.,var
111,Found a number of cracks running through the 2nd stage nozzle.,var
126,The #1 forward baffle is worn through.,var
126,The forward baffle on engine 2 is worn completely through.,var
126,Left front baffle is worn through and needs replacement.,var
126,A through-wear was found in the #3 forward baffle during inspection.,var
135,Engine runs rough on start; maintenance hand-spun the prop and reported one cylinder with a fault.,var
135,Engine was rough on start — tech hand‑spun the prop and noted two cylinders behaving poorly.,var
135,Rough start observed; ground crew hand‑spun the prop and logged a single cylinder issue.,var
135,Engine rough at start; mechanic hand‑turned the prop and indicated cylinder #2 as suspect.,var
139,Ran the engine start checklist three times and tried the cold-start checklist twice.,var
139,Tried starting the engine several times — ran the start checklist twice and ran the cold-start checklist three times.,var
139,"Completed the engine start checklist four times, then attempted the cold-start checklist once.",var
139,Start checklist run 2X; cold-start checklist attempted 4X.,var
141,The rivet head on the rear right baffle aft bracket is sheared off.,var
141,Found the rivet head broken off on the back left baffle bracket.,var
141,Rivet head on the back RH baffle’s back bracket has sheared away.,var
141,Aft bracket rivet head on the rear #4 baffle was found sheared off.,var
154,Rivets on the aft baffle bracket are pulling through the material.,var
154,The rear baffle bracket rivets are tearing out and failing.,var
154,Aft baffle bracket rivets have pulled through the bracket.,var
154,The rivets securing the aft baffle bracket are working loose and pulling through.,var
163,"The front baffle by the intake heat, around the muffler shroud, is cracked.",var
163,A crack was found in the forward baffle adjacent to the intake heat and surrounding the muffler shroud.,var
163,Found the front baffle at the intake heat near the muffler shroud has a crack.,var
163,Forward baffle next to the heat intake around the muffler shroud shows cracking.,var
166,The right front baffle seal rivet is broken.,var
166,Found a snapped rivet on the front-left baffle seal.,var
166,Front baffle-seal rivet on the right side is fractured.,var
166,Left front baffle seal rivet has come apart.,var
167,The inner seal of the intake pushrod tube on cylinder #3 is weeping oil.,var
167,I can see oil seeping from the intake push‑rod tube inner seal on cylinder #1.,var
167,Inner seal of the intake pushrod tube for cylinder #4 is leaking.,var
167,Cylinder #2 intake pushrod tube inner seal is weeping.,var
198,The starter is inoperative.,var
198,The starter motor failed to function.,var
198,Engine starting unit not working.,var
198,Starter won't engage; unit is nonfunctional.,var
201,The aircraft engine quit during the idle check.,var
201,Airplane died while performing the idle RPM check.,var
201,A/C stopped running during the ground idle inspection.,var
201,Engine shut down unexpectedly during the idle check.,var
210,The baffle on the left engine #4 has a cracked reinforcing brace.,var
210,A crack was found in the reinforcing brace of the left engine baffle on engine #3.,var
210,Right engine baffle No. 4 shows a cracked reinforcing brace.,var
210,Cracked reinforcing brace on the left baffle of engine 5.,var
219,"After performing a simulated engine failure, smoothly applied the throttle to restore power.",var
219,"Once the simulated engine failure was run, I gently rolled on the throttle to regain thrust.",var
219,Simulated engine failure completed; power was applied smoothly.,var
219,"Following the simulated engine failure, smoothly advance the power lever to recover engine output.",var
223,Left engine left-aft baffle is chafing on the cylinder.,var
223,Right engine rear baffle was rubbing against the cylinder.,var
223,Aft baffle on engine #2 is contacting and abrading the cylinder.,var
223,Found the left aft baffle on engine #1 rubbing the cylinder during inspection.,var
226,Idle mixture requires adjustment.,var
226,The idle mix needs a little tweaking.,var
226,Adjust the fuel/air mixture at idle.,var
226,Mixture setting at idle is incorrect and should be adjusted.,var
256,The thrust plug on the #3 rocker shaft is broken.,var
256,Found the #1 rocker shaft thrust plug sheared off.,var
256,Rocker shaft thrust plug for engine #4 has failed — it's broken.,var
256,A broken thrust plug was discovered on the #2 rocker shaft.,var
271,"Engine override speed was 1,225 RPM.",var
271,"The engine over-ride point was recorded at 1,230 rpm.",var
271,"Measured engine override speed: 1,220 revolutions per minute.",var
271,"Engine overspeed threshold registered about 1,240 rpm.",var
282,Cylinder 3 intake pipe needs to be re-wedged into the sump.,var
282,The intake tube on cylinder #2 has come loose and must be reseated into the oil sump.,var
282,Intake pipe for cylinder No.4 requires re-wedging into the sump.,var
282,Re-wedge the intake pipe of cylinder three back into the sump.,var
287,Right engine baffle tie-rod spacers at positions 1 and 3 are loose.,var
287,Found loose baffle tie rod spacers on the left engine at stations 2 and 4.,var
287,Baffle tie-rod spacer for the right engine (Nos. 1 & 3) was checked and is loose.,var
287,"Observed loose tie-rod spacers on the engine baffle, left side, unit numbers 3 and 1.",var
288,The rubber insert on the Adel clamp for the left engine sniffler valve hose is worn out.,var
288,Found the Adel clamp rubber on the right engine’s sniffler valve hose badly worn.,var
288,Adel clamp rubber at the left engine sniffler valve hose shows significant wear.,var
288,The Adel-clamp rubber on #2 engine sniffler valve hose is worn and needs replacement.,var
295,During the prior shutdown the engine quit when the throttle was closed.,var
295,The engine stopped as the throttle was shut during the earlier shutdown.,var
295,"While closing the throttle on the previous shutdown, the engine unexpectedly quit.",var
295,Engine quit upon throttle closure during the prior shutdown procedure.,var
300,The forward baffle is chafing on the external shroud.,var
300,The front baffle is rubbing against the outer shroud and causing wear.,var
300,Chafing observed at the interface between the leading baffle and the external shroud.,var
300,Found the forward baffle contacting and wearing the external shroud.,var
309,"While airborne, the right cowl flap failed to remain in the open position.",var
309,In flight the left cowl flap kept falling shut.,var
309,The right-side cowl flap would not stay open during flight.,var
309,"During the flight, the left cowl flap intermittently would not hold open.",var
320,The rear baffle bracket at the engine center is broken at the bolt.,var
320,Found the rear baffle bracket on the engine center fractured through the bolt hole.,var
320,Rear baffle support at the engine middle failed at the mounting bolt during inspection.,var
320,"The bracket for the rear baffle, located at the engine centerline, separated at the bolt.",var
353,EGT probe clamp on cylinder #1 is loose.,var
353,Exhaust gas temperature sensor clamp found loose on cylinder #2.,var
353,Left-side EGT clamp at cylinder 3 came loose during inspection.,var
353,Loose exhaust gas temperature clamp on cylinder 4 — secure the clamp.,var
367,All valve covers are leaking oil.,var
367,Oil leaks present at every valve cover.,var
367,Leakage detected on each valve cover around the engine.,var
367,Every valve cover shows signs of oil seepage.,var
368,"Engine speed recorded at 2,720 RPM.",var
368,"The engine was turning about 2,700 rpm.",var
368,"Measured engine RPM: 2,725 revolutions per minute.",var
368,Engine running roughly 2.7k r/min.,var
370,Cylinder #3 exhaust tube elbow top bolt requires re-cotter-pinning.,var
370,The top bolt on the exhaust elbow of cylinder 1 needs a new cotter pin.,var
370,Exhaust tube elbow top bolt on cylinder 2 must be re-cotter-pinned.,var
370,Replace the cotter pin on the top bolt of the #4 cylinder exhaust tube elbow.,var
372,The connecting rod for the left cooling baffle is broken.,var
372,Right cooling baffle link rod snapped during inspection.,var
372,Found a fractured connecting rod on the left cooling baffle.,var
372,Left-side cooling baffle connecting rod has failed and is broken.,var
373,The right cylinder cooling baffle is contacting the oil return line.,var
373,I found the left cylinder’s cooling baffle touching the oil return line.,var
373,"Cooling baffle on the #2 cylinder is in contact with the oil return line, clearance lost.",var
373,The oil return line is being contacted by the #1 cylinder cooling baffle.,var
385,The intake gasket on cylinder 1 is leaking.,var
385,Found a leak at the intake gasket of cylinder #2.,var
385,Leak detected from the intake gasket of left cylinder 3.,var
385,Cylinder #4 intake gasket has a seep.,var
403,Side baffle bolts on cylinders #1 and #3 are loose.,var
403,Found the left-side baffle bolt on cylinder 2 loose during inspection.,var
403,A loose side baffle bolt was noted at cylinder #4.,var
403,The side baffle fastener for cylinders 3 and 1 was found to be loose.,var
410,"After 20"" manifold pressure, full throttle was applied and the engine started.",var
410,"With manifold pressure at 22 inches, the throttle was cracked to full and the engine came alive.",var
410,"At about 18"" MP, the pilot advanced to full power and the engine started up.",var
410,"Once manifold pressure reached 20 inches, full throttle was set and the engine began running.",var
412,Fuel is seeping from the air induction elbow at the servo-boot connection.,var
412,The elbow between the air induction and the servo boot is leaking fuel.,var
412,Air-induction elbow to servo boot joint is weeping fuel.,var
412,Found fuel weeping out of the induction elbow into the servo boot.,var
413,The rocker gasket on cylinder #2 was found seeping oil.,var
413,Found oil weeping from the #4 cylinder rocker gasket during inspection.,var
413,Cylinder #3's rocker gasket is seeping.,var
413,Third cylinder rocker cover gasket showing seepage.,var
415,Cowl shock mount No. 7 is damaged and needs attention.,var
415,Found damage to the cowl shock mount at position 5 during the inspection.,var
415,Damage noted on cowl shock mount 3.,var
415,The cowl shock mount in bay 9 shows damage and should be repaired.,var
441,The right aft baffle plug is bad and needs replacement.,var
441,Left rear baffle plug is no good.,var
441,Aft baffle plug on the RH side failed inspection.,var
441,Rear right baffle plug compromised — requires repair.,var
465,Cooling baffle cracked on the front-left of the right engine.,var
465,Found a crack in the front-right cooling baffle on the left engine during inspection.,var
465,Front-left cooling baffle failure noted on engine 2.,var
465,Left-front baffle cracked — located on right engine #3.,var
469,The clamp on the left engine #2 primer line needs to be repositioned.,var
469,The left engine's second primer-line clamp is misaligned and should be moved.,var
469,Reposition the primer-line clamp on the right engine #3 — it's not seated correctly.,var
469,Primer line clamp for engine 2 left requires repositioning.,var
473,Left engine number 2 exhaust gas temperature gauge is inoperative.,var
473,EGT on the right engine #3 has failed and shows no reading.,var
473,No exhaust gas temperature indication from left engine #1.,var
473,Engine #2 EGT on the right side is not operating.,var
476,The #4 baffle spark plug access hole requires a patch.,var
476,Patch the spark plug access opening on the left baffle of engine #3.,var
476,The access hole for the spark plug in the #2 baffle was found needing a patch.,var
476,Needs a patch: spark plug access port on the right engine’s #5 baffle.,var
492,The fuel-line support bracket at the baffle support is loose and needs tightening.,var
492,Found the clamp that holds the fuel line to the baffle support loose — snug it up.,var
492,Fuel line support bracket at baffle support was discovered loose during inspection.,var
492,Secure or replace the loose fuel line support bracket where it attaches to the baffle.,var
495,Crack observed in the engine cowling baffle at the #1 cylinder.,var
495,Found a split in the cowling baffle near cylinder 2.,var
495,A crack was detected in the engine cowling baffle adjacent to cylinder No. 3.,var
495,The cowling baffle by cylinder 4 is cracked.,var
498,The cowl seal at cylinder #3 needs to be reattached to the baffling.,var
498,Cowl seal by cylinder #1 has pulled away — re-secure it to the baffle.,var
498,Reattach the cowl seal adjacent to the #4 cylinder to the baffling.,var
498,Found the cowl-to-baffle seal near cylinder #2 loose; it must be secured back to the baffling.,var
511,The connection wire for the right-side engine baffling is broken.,var
511,Found a broken wire that secures the left engine baffle.,var
511,Baffle connection wire on the #2 engine is fractured.,var
511,Right engine baffling wire snapped off.,var
543,The engine oil cooler can be cleaned from the outside.,var
543,External cleaning of the engine oil cooler is possible.,var
543,The oil cooler on the engine is serviceable by cleaning externally.,var
543,You can clean the engine’s oil cooler externally without internal disassembly.,var
567,Right engine baffle between cylinders #2 and #4 requires rework.,var
567,"The left engine baffle, between cylinders 1 and 3, needs to be reworked.",var
567,Baffle on the right engine located between cylinders 3 and 4 must be reworked.,var
567,Engine baffle between #2 & #4 (left side) requires rework.,var
573,Lower intake clamps on the right engine number 4 were found loose.,var
573,Found loose lower clamps on the left engine intake at #3 during the inspection.,var
573,The lower clamps at the intake of engine 2 on the right side are loose.,var
573,"Observed loose lower intake clamps on engine No. 5, left side.",var
577,Spiral wrap between cylinders #2 and #4 has melted.,var
577,I found the spiral sleeve melted between cylinder 1 and 3.,var
577,Melted spiral wrap discovered between cylinders 3 and 4 during the inspection.,var
577,The protective spiral wrap between #4 and #2 cylinders is burned and melted.,var
590,All B' (B-prime) nuts on the cylinder drain lines were found loose.,var
590,Every cylinder drain line has its B' nut loose and requires tightening.,var
590,Found loose B' nuts across all cylinder drain lines during inspection.,var
590,Verify and tighten the B' nuts on each cylinder drain line — they are all loose.,var
595,Minor foreign-object damage was observed on the top of cylinder #2.,var
595,Found a small FOD nick on the upper surface of cylinder 4.,var
595,Small foreign object damage noted on the top of cylinder three.,var
595,Tiny foreign-debris damage on the top of cylinder #1.,var
605,Inspection revealed worn spots on the forward baffle seals.,var
605,The front baffle seal shows localized wear.,var
605,Found several small worn areas on the forward baffle seals during the check.,var
605,Forward baffle seals exhibit wear spots.,var
627,Off-site maintenance removed cylinders #2 and #3.,var
627,The #4 and #5 cylinders were taken off by an outside maintenance crew.,var
627,"Two cylinders, nos. 1 and 2, were removed at an off-site repair facility.",var
627,Left-side cylinders #3 & #4 were removed by off-site techs.,var
629,Cylinder #2 has zero compression; the exhaust valve is leaking.,var
629,No compression on cylinder 3 — leaking from the exhaust valve.,var
629,Zero compression was measured on the #1 cylinder due to an exhaust valve leak.,var
629,Found no compression in cylinder #4; exhaust-valve leak present.,var
642,Are the aluminum fittings on the oil cooler OK?,var
642,Please confirm the oil cooler’s alum fittings are serviceable.,var
642,Can you check if the oil cooler aluminum fittings are in good shape?,var
642,Oil cooler alum fittings — acceptable condition?,var
657,Side baffle seals on engines 3 and 4 are worn.,var
657,The left-side baffle seals on #2 and #3 show wear.,var
