Grupo,Frase,Tipo
49,BRACKET SECURING OIL LINE TO #2 CYLINDER BROKEN.,orig
50,"DOING MAX PERFORM T/O @ 3200, MP WON'T GO ANY HIGHER THAN 24",orig
51,#3 INTAKE LEAKING AT CLAMP.,orig
52,LEFT ENGINE I/B BAFFLE INTERCONNECT ROD BROKEN.,orig
53,AFT RIGHT BAFFLE HAS MISSING RIVET.,orig
54,RING GEAR HAS TOO MANY DAMAGED TEETH.,orig
55,#3 CYLINDER OIL RETURN LINE BEEN CHAFING ON WIRE BUNDLE.,orig
56,RIGHT SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.,orig
57,LEFT ENGINE CYLINDER #4 AFT BAFFLE STIFFENER IS CRACKED.,orig
58,"DURING ENTRY TO 180 DEGREE AUTO, WHEN COLLECTIVE LOWERED TO",orig
59,"CAP SCREW MISSING, LEFT ENGINE #4 BAFFLE.",orig
60,ENGINE INSPECTION PANEL MISSING SCREW,orig
61,STARTER RING GEAR MISSING TEETH.,orig
62,OIL PSI SWITCH WIRING GROMMET IS MISSING.,orig
63,LEFT & RIGHT SPARK PLUG THROUGH HOLE PLUGS NEED TO BE REPLACED.,orig
64,LEFT FORWARD ENGINE BAFFLE BLAST TUBE BLOCKED,orig
65,LEFT BOTTOM BAFFLE WIRE HOLDER IS BROKEN.,orig
66,SPARK PLUG BAFFLE PLUG IS WORN.,orig
67,LEFT DEFLECTOR BAFFLE IS CRACKED.,orig
68,RIGHT BACK BAFFLE BRACKET SCREWS ARE LOOSE.,orig
69,SPIRAL WRAP ON ROCKER OIL RETURN LINES #1 & 3 REQUIRES REPLA,orig
70,#2 CYLINDER INNER INTAKE PUSH ROD SEAL LEAKING.,orig
71,FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,orig
72,CYLINDER #1 BAFFLE CRACKED AT SCREW SUPPORT & FORWARD BAFFLE BELOW #1,orig
73,BAFFLE SEAL HAS HOLE IN IT.,orig
74,FRONT BAFFLE RUBBING ON MUFFLER.,orig
75,#3 CYLINDER HAS VALVE STICKING.,orig
76,"ENGINE ROUGH ON START, SUSPECT STUCK VALVE.",orig
77,#3 FORWARD PUSH ROD TUBE LEAKING @ ENGINE.,orig
78,CYLINDER #3 INTAKE TUBE LEAKING AT SUMP CONNECTOR HOSE.,orig
79,"SCREW MISSING FOR RIGHT SIDE OF BAFFLING, BEHIND DIPSTICK.",orig
80,LEFT ENGINE #3 DRAIN HOSE CLAMP AGAINST BAFFLE.,orig
81,CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,orig
82,#3 ROCKER COVER REQUIRES NEW GASKET.,orig
83,"SEVERE KNOCKING, VIBRATIONS ON START UP.",orig
84,OIL RETURN LINE CLAMPS LOOSE.,orig
85,"LOOSE CABLE SAFETY BAFFLE BOLTS, CYLINDER #2.",orig
86,#1 & 3 CYLINDER FUEL INJ LINES STANDOFF LOOSE BY OIL FILLER TUBE.,orig
87,RIGHT ENGINE #2 & 4 ROCKER OIL RETURN LINES ARE LEAKING.,orig
88,RIGHT REAR ENGINE BAFFLE SUPPORT BROKEN.,orig
89,ENGINE IS TIMED OUT.,orig
90,RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,orig
91,LEFT ENGINE MISSING SCREW & NUT ON BAFFLE BY OIL FILL TUBE.,orig
92,RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,orig
93,ENGINE IDLE @ 1700 RPM DURING SHUT DOWN. NO RISE IN RPM ON M,orig
94,CYLINDER #3 EXTERNAL PUSH ROD TUBE SEAL LEAKING AT CASE.,orig
95,A/C NEEDS TO BE RUN UP & CHECKED FOR FERRY FLIGHT,orig
96,PILOT REPORTED STRONG ENGINE VIBRATION DURING STOP & GO WHIL,orig
97,NO RISE DURING MIXTURE CHECK.,orig
98,#3 BAFFLE PLUG IS WORN.,orig
99,"#4 CYLINDER HAS LOW COMPRESSION, AROUND 34 PSI.",orig
100,#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,orig
101,#4 AFT BAFFLE ATTACH PLATE BROKEN.,orig
102,RIGHT AFT COWL BRACKET RIVET MISSING.,orig
103,BAFFLE SPARK PLUG CAPS ARE WORN OUT.,orig
104,"#2 & 4 INTAKE GASKETS ARE LEAKING, CAUSING CYLINDER HEAD TEMPERATURE & EXHAUST GAS TEMPERATURE  VARIATI",orig
105,OIL COOLER BAFFLING CRACKED IN LOWER I/B CORNER.,orig
106,"RIGHT SIDE OF ENGINE, AFT BAFFLE CRACKED PAST STOP DRILLED HOLES.",orig
107,"STARTED A/C NORMALLY, BATTERY STILL SHOWING DISCHARGE. INCRE",orig
108,#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,orig
109,"#1, 2, 3 COWL SHOCK MOUNTS TORN.",orig
110,SCROLL TO PC FLITTER TUBE HAS EXCESSIVE FRETTING UNDER FLOAT,orig
111,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,orig
112,"#2 CYLINDER ""MISSING"" ON RUN UP (RUNS ROUGH).",orig
113,RIGHT ENGINE OIL FILL TUBE LOOSE.,orig
114,#4 CYLINDER ROCKER DRAIN LINE CLAMP LOOSE & LEAKS NOTED.,orig
115,BAFFLE BOLT SAFETIES ARE LOOSE ON #1 & 3 CYLINDER.,orig
116,"AT 5500 FT, OAT +7, EXECUTED ENGINE FAILURE IN FLIGHT & ENGINE",orig
117,"MAINTENANCE FLIGHT REQUIRED FOR ENGINE BREAK-IN, PROP RPM & TO CHECK",orig
118,#2 INTAKE LUBE GASKET LEAKING.,orig
119,THROTTLE LINKAGE DOG BONE HAS LOOSE BEARING.,orig
120,#2 CYLINDER HAS A STUCK VALVE.,orig
121,"ENGINE BAFFLE CRACKED AT TOP REAR CENTER BRACKET, AT ENGINE",orig
122,"LEFT ENGINE, ALTERNATOR COOLING HOSE CHAFING AGAINST ALTERNATOR ""BAT"" CABLE.",orig
123,FORWARD LEFT BAFFLE IS CRACKED BELOW SHROUD AIR INTAKE.,orig
124,FIREWALL CRACKED BY BATTERY BOX.,orig
125,"MIXTURE LINKAGE LOOSE, MISSING SPRING WASHER.",orig
126,#1 FORWARD BAFFLE IS WORN THROUGH.,orig
127,"RIGHT ENGINE #2, 3 INDUCTION IS LEAKING.",orig
128,PILOT COULDN'T REMOVE DIPSTICK.,orig
129,#3 AFT BAFFLE GROMMET TORN.,orig
130,#1 INTAKE TUBE WAS CANNED,orig
131,RIGHT ENGINE #2 CYLINDER ROCKER COVER GASKET IS SPLIT.,orig
132,RIGHT ENGINE #4 INDUCATION TUBE GASKET LEAKING.,orig
133,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,orig
134,#2 EXHAUST LIFTER PLUNGER ASSEMBLY CAME APART WHEN CLEANED.,orig
135,ENGINE RUNS ROUGH ON START. MAINTENANCE HAND SPUN PROP & REPORTED 1 CYLINDER,orig
136,LEFT DOOR WOULD NOT LATCH.,orig
137,BAFFLE SEALS NEED TO BE RESECURED ON BOTH ENGINES.,orig
138,RIGHT ENGINE CORNER BRACKET BY PROP CABLE IS CRACKED.,orig
139,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 T",orig
140,CYLINDER #1/3 BAFFLE SPRING BROKEN.,orig
141,BACK RIGHT BAFFLE BACK BRACKET RIVET HEAD IS SHEARED OFF.,orig
142,REAR BAFFLE PLUGS WORN OUT.,orig
143,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENGINE.,orig
144,RIGHT BAFFLE MISSING RIVET ON AFT SUPPORT BRACKET.,orig
145,"RIGHT ENGINE, LEFT FORWARD BAFFLE & LEFT AFT BAFFLE MISSING SCREWS.",orig
146,"LEFT BAFFLE, SPARK PLUG ACCESS PLUG WORN TABS.",orig
147,RIGHT SIDE ENGINE BAFFLE HARDWARE MISSING.,orig
148,RIGHT BACK BAFFLE BRACKET IS MISSING A RIVET & BAFFLE IS CRACK,orig
149,LEFT #1 INTAKE I/B PUSH ROD TUBE SEAL IS LEAKING.,orig
150,ENGINE BAFFLES NEED NEW BUTTON PLUGS.,orig
151,"CLIMB OUT 1 OR BOTH ENGINES RAN VERY ROUGH, TRIED LEANING &",orig
152,FORWARD ENGINE HOIST LOOP BOLT IS LOOSE.,orig
153,#3 INTAKE I/B TO ENGINE THREAD STRIPPED.,orig
154,AFT BAFFLE BRACKET RIVETS PULLING THROUGH.,orig
155,ENGINE TOP SPINE IS LEAKING.,orig
156,OVERBOARD BATTERY & ENGINE OVERBOARD VENT TUBES CHAFED.,orig
157,LEFT ENGINE #3 ROCKER SHAFT PLUG WORN.,orig
158,#4 VALVE COVER GASKET LEAKING.,orig
159,ALL EXHAUST GAS TEMPERATURE  WIRE PROBE STANDOFFS ARE BROKEN.,orig
160,FRONT ENGINE BAFFLE SCREWS CHAFING MUFFLER SHROUD.,orig
161,SLIGHT POWER LOSS ON TAKE OFF,orig
162,TOP & BOTTOM RUDDER COVERS ARE CRACKED.,orig
163,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK",orig
164,FORWARD BAFFLE CENTER SECTION IS WORN THROUGH.,orig
165,"#3 ROCKER COVER, ROCKER SHAFT PLUGS ARE BROKEN.",orig
166,RIGHT FRONT BAFFLE SEAL RIVET IS BROKEN.,orig
167,CYLINDER #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,orig
168,OIL COOLER HOSE REQUIRES REPOSITIONING.,orig
169,#1 & 2 ROCKER COVERS MISSING 2 SCREWS.,orig
170,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,orig
171,TOP CENTER BAFFEL SCREW IS HITTING MOUNT,orig
172,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,orig
173,AFT BAFFLE BRACKET MISSING RIVETS.,orig
174,RIGHT ENGINE CYLINDER #1 PRIMER LINE SLEEVE IS TORN.,orig
175,RIGHT ENGINE BAFFLE SEAL UNDER PROP GOVERNOR IS LOOSE.,orig
176,"SCREW MISSING, LEFT AFT BAFFLING, ON ENGINE (BEHIND DIPSTICK TUB",orig
177,#2 EXHAUST GAS TEMPERATURE  READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.,orig
178,"LEFT ENGINE, LEFT MAGNETO HAD DROP OF 300 RPM ON RUN UP. LEANE",orig
179,"RIGHT ENGINE, LEFT SIDE FORWARD COWL SEAL IS LOOSE.",orig
180,TEST FLIGHT NEEDED FOR UNUSUAL VIBRATION.,orig
181,CYLINDER #1 EXTERNAL VALVE IS STICKING (40/80).,orig
182,#3 CYLINDER BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL,orig
183,FRONT RUBBER BAFFLE CHAFING ON STARTER GROUND WIRE.,orig
184,OVERSPEED OF 3300 IN FLIGHT.,orig
185,RIGHT ENGINE IGNITION LEAD LACING CORE BROKEN TO OIL RIGGED LI,orig
186,RING GEAR TEETH APPEAR TO BE DAMAGED.,orig
187,"REAR BAFFLE MOUNT SCREW IS LOOSE, BEHIND DIPSTICK TUBE.",orig
188,#2 CYLILNDER ROCKER COVER LEAKING.,orig
189,FRONT RIGHT BAFFLE SEAL IS NOT ATTACHED.,orig
190,ENGINE RAN ROUGH. AFTER RPM'S WERE STAB,orig
191,OIL COOLER STAND OFFS NEED ADJUSTMENT.,orig
192,"ENGINE LEFT SIDE BAFFLE, MIDDLE MOUNT RIVETS ARE LOOSE.",orig
193,FULL POWER ONLY RESULTS IN 2640 RPM ON LEFT ENGINE & 2600 RPM,orig
194,RIGHT ENGINE CYLINDER #3 & 4 BAFFLE SEALS NEED TO BE INSTALLED CORRECT,orig
195,RIGHT ENGINE O/B TOP CENTER BAFFLE SEAL IS LOOSE.,orig
196,"RIGHT ENGINE #3 CYLINDER SIDE BAFFLE, BOTH BOLTS MISSING.",orig
197,LEFT FORWARD FRONT BAFFLE MISSING RUBBER PLUG.,orig
198,STARTER INOPERABLE.,orig
199,"LOWEST PART OF ENGINE, RUBBING DIAGONAL.",orig
200,A/C WILL NOT MAKE POWER.,orig
201,A/C DIED DURING IDLE CHECK.,orig
202,ENGINE SHUTDOWN WHEN THROTTLE WAS PULLED TO IDLE,orig
203,"WHILE ADJUSTING MIXTURE, A/C WOULD START TO QUIT @ 1450.",orig
204,A/C REQUIRES RUN UP.,orig
205,FORWARD BAFFLE IS CRACKED BY MUFFLER SHROUD OPENING.,orig
206,LEFT ENGINE BACK FIRED WHEN BROUGHT TO 1800 RPM. RIGHT MAGNETOS DROP,orig
207,"RIGHT ENGINE VIBRATION W/ INCREASING POWER, NO EXHAUST GAS TEMPERATURE  IND ON #3 C",orig
208,#2 INTAKE I/B BOLT HOLE HAS DAMAGED THREADS.,orig
209,LEFT & RIGHT OIL DIPSTICK TUBES ARE LOOSE.,orig
210,LEFT ENGINE #4 BAFFLE HAS A CRACKED REINFORCING BRACE.,orig
211,OIL SUMP SCREEN DAMAGED.,orig
212,CORNER PATCH ON LEFT REAR ENGINE BAFFLE CRACKED.,orig
213,ALTERNATOR BELT LOOSE.,orig
214,"PROP RPM REACHED 2720, NOTICED & REDUCED IT.",orig
215,"ON DESCENT, EXCEEDED MAX RPM, WENT UP TO 2800.",orig
216,IDLE OVERRIDE SPEED WAS 1300.,orig
217,RIGHT ENGINE #4 CYLINDER COMPRESSION CHECK LOW.,orig
218,#3 CYLINDER AFT BAFFLE INNER MOST BAFFLE SEAL RIVET IS PULLED THR,orig
219,"AFTER PERFORMING SIMULATED ENGINE FAILURE, SMOOTHLY APPLIED",orig
220,CYLINDER #4 COMPRESSION IS 30/80.,orig
221,EXPERIENCED PARTIAL POWER LOSS DURING CLIMB.,orig
222,OIL LEAK EVIDENCE ON RIGHT SIDE OF ENGINE.,orig
223,"LEFT ENGINE, LEFT AFT ENGINE BAFFLE CHAFED ON CYLINDER.",orig
224,ENGINE BAFFLE SNAP PLUG TAB BROKEN OFF.,orig
225,ENGINE RPM REACHED 2760 FOR APPROX 2 SECONDS.,orig
226,IDLE MIXTURE NEEDS ADJUSTMENT.,orig
227,"WORN OUT THRUST BUTTON, ROCKER SHAFT CYLINDER #3, LEFT ENGINE.",orig
228,RIGHT BAFFLE SPARK PLUG ACCESS BUTTON WORN.,orig
229,DIPSTICK TUBE LOOSE.,orig
230,RIGHT BACK BAFFLE BRACKET RIVET HEAD IS MISSING.,orig
231,BOTH SPARK PLUG BAFFLE PLUGS ARE WORN.,orig
232,LEFT BAFFLE REQUIRES PATCH.,orig
233,AFT ALTERNATOR MOUNTING BOLT EATING INTO SCROLL MOUNT.,orig
234,EXCESSIVE END PLAY AT THROTTLE CABLE ATTACHMENT.,orig
235,#2 & 4 BAFFLE OUTER TIE & SPRING BROKEN.,orig
236,#2 & 4 BAFFLE INNER TIE & SPRING OUT OF PLACE.,orig
237,OIL LEAK FROM LEFT ENGINE.,orig
238,BAFFLE SUPPORT ON AFT COPILOT SIDE ENGINE BAFFLE LOOSE.,orig
239,"AFTER COMPLETING STEEP SPIRALS AT POWER IDLE, SMOOTHLY APPLI",orig
240,RIGHT ENGINE #3 CYLINDER LOOSE BAFFLE RUBBING ON OIL RETURN LINE CY,orig
241,PLUGS FOR ENGINE BAFFLING WORN.,orig
242,LEFT #3 CYLINDER ROCKER SHAFT THRUST BUTTONS DETERIORATED.,orig
243,ENGINE BAFFLE CYLINDER #3 MOUNT BRACKET SHEARED RIVET.,orig
244,RIGHT ENGINE OIL RETURN LINES ARE LEAKING.,orig
245,LEFT BUTTON PLUG IS WORN.,orig
246,"WHILE TAXING, ENGINE COUGHED & SPUTTERED ANYTIME RPMS WERE B",orig
247,INTERCYLINDER BAFFLE SUPPORT ROD BROKEN.,orig
248,RIGHT ENGINE OIL RETURN LIKE CLAMPS ARE LOOSE.,orig
249,WIRING HOLDER BROKEN ON CYLINDER #1.,orig
250,HIDDEN DAMAGE INSP REQUIRED FOR ENGINE FIRE.,orig
251,#3 INTAKE TUBE RUBBING ON BAFFLE.,orig
252,LOOSE ENGINE GROUND.,orig
253,BAFFLE SUPPORT STEEL ROD CYLINDER #2 & 4 MISSING.,orig
254,#3 CYLINDER AFT BAFFLE BRACKET LOOSE. BRACKET SECURED TO ENGINE C,orig
255,"RIGHT ENGINE RUNNING ROUGH. ENGINE WAS FINE @ LOW ALTITUDES, O",orig
256,#2 ROCKER SHAFT THRUST PLUG BROKEN.,orig
257,"CYLINDER #3 INTAKE TUBE FLANGE LEAKING FUEL, CONNECTION BETWEEN T",orig
258,#1 CYLINDER STAND OFF IS BROKEN.,orig
259,BAFFLE CORNER BY CYLINDER #4 CRACKED.,orig
260,ENGINE OVERSPEED TO 3300 RPM.,orig
261,RIGHT BACK BAFFLE RIVET HEAD IS SHEARED.,orig
262,LEFT CARBURETOR HEAT BRACKET LOOSE.,orig
263,INDUCTION AIR FILTER CAN BE REPLACED.,orig
264,BOTH LOWER DEFLECTORS CRACKED.,orig
265,FORWARD LEFT BAFFLE ANTI-CHAFE STRIP FELL OFF.,orig
266,"AFT ENGINE BAFFLE BY CYLINDER #3, SUPPORT SECURED TO ENGINE CASE",orig
267,REAR RIGHT ENGINE BAFFLE BRACKET CRACKED.,orig
268,ENGINE RUNNING ROUGH AT IDLE.,orig
269,IMPELLER MAKING CONTACT W/ SCROLL.,orig
270,"ON CLIMB OUT, ENGINE LOST ABOUT 250 RPM ",orig
271,ENGINE OVER RIDE SPEED WAS 1225 RPM.,orig
272,CYLINDER #3 EXTERNAL GASKET IS 1/2 GONE.,orig
273,OIL COOLER LINES LACING CORD IS FALLLING APART.,orig
274,RIGHT ENGINE #4 CYLINDER AFT BAFFLE WIRE HARNESS TAB IS CRACKE,orig
275,#3 CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKIN,orig
276,#1 CYLINDER LOWER INTAKE CLAMPS ARE LOOSE.,orig
277,CRACK IN AFT ENGINE BAFFLE @ OIL COOLER ON RIGHT ENGINE.,orig
278,IDLE OVERRIDE LOW.,orig
279,SPARK PLUG ACCESS HOLE ON BAFFLE CYLINDER #4 ELONGATED.,orig
280,"FRONT RUBBER BAFFLE ON ENGINE, RIGHT SIDE, RIPPED FROM MOUNTIN",orig
281,LEFT ENGINE CYLINDER #1 & 3 INNER CYLINDER BAFFLE TIE ROD AFT NUT IS MAGNETIC INDICATOR,orig
282,CYLINDER #3 INTAKE PIPE NEEDS TO BE RESWEDGED INTO SUMP.,orig
283,#2 FORWARD LOWER BAFFLE HAS CRACK.,orig
284,LEFT INTER-CYLINDER BAFFLE IS LOOSE.,orig
285,LEFT SIDE OF ENGINE BAFFLE WIRE LOOSE.,orig
286,FORWARD BAFFLE CHAFING ON MUFFLER SHROUD.,orig
287,RIGHT ENGINE #1 & 3 BAFFLE TIE ROD SPACER LOOSE.,orig
288,LEFT ENGINE SNIFFLER VALVE HOSE ADEL CLAMP RUBBER IS WORN OUT.,orig
289,"IMMEDIATELY AFTER ENGINE START, HIGH PITCHED WHINE/SQUEAL/WH",orig
290,RIGHT BACK BAFFLE BRACKET RIVET SHEARED OFF.,orig
291,ADEL CLAMP TORN BY RIGHT ENGINE MOUNT.,orig
292,RIVNUT STRIPPED OUT ON FIREWALL FOR A/F FUEL FILTER.,orig
293,LEFT ENGINE N1 RPM HAS 3 TO 4% UNCOMMANDED INCREASE WHEN ENGINE,orig
294,"TABS ARE BROKEN OFF BAFFLE PLUGS, LEFT & RIGHT SIDES.",orig
295,ENGINE QUIT WHEN THROTTLE WAS CLOSED DURING SHUT DOWN PRIOR,orig
296,"LEFT ENGINE, LEFT BAFFLE TIE ROD PULLED THROUGH BAFFLE.",orig
297,"RIGHT ENGINE BURNER CAN DRAIN, RIGID LINE IS CONTACTING BOTTOM CUTOFF",orig
298,"AFTER TAKEOFF, RPM'S WERE FLUCTUATING & ENGINE STARTED TO RU",orig
299,OIL LEAK NOTED ON FRONT ENGINE SECTION.,orig
300,FORWARD BAFFLE IS CHAFING ON EXTERNAL SHROUD.,orig
301,FORWARD BAFFLE IS CHAFING ON MUFFLER HEAT SHROUD.,orig
302,CYLINDER #1 GOVERNOR BAFFLE SEAL IS COMING OFF.,orig
303,"ON RUN UP, LEFT MAGNETOS DROPPED 350 RPM.",orig
304,CYLINDER #1 INTAKE TUBE IS LOOSE.,orig
305,CYLINDER 32 INTAKE GASKET IS LEAKING.,orig
306,OIL LINE 90 DEGREE ADEL CLAMP BRACKET IS BROKEN.,orig
307,CYLINDER #2 INTAKE TUBE AT SUMP HAS POSSIBLE FUEL LEAK.,orig
308,"POWER AT IDLE, ENGINE QUIT. RESTARTED & TESTED IDLE W/ FULL",orig
309,"DURING FLIGHT, RIGHT COWL FLAP WOULD NOT STAY OPEN.",orig
310,"#1 CYLINDER EXHAUST STACK IS MISSING NUT, RIGHT.",orig
311,RIGHT ENGINE TOP CRANKCASE HALF BOLT W/ ENGINE HOIST LOOP IS LEAKING,orig
312,SUPPORT FROM #4 CYLINDER AFT BAFFLE TO CRANKCASE HALF IS BROKEN O,orig
313,"ON ENGINE START, ENGINE WAS UNUSUALLY ROUGH. ATTEMPTED TO LEADING-EDGE",orig
314,#4 CYLINDER COMPRESSION TEST WAS 35/80.,orig
315,"RIGHT ENGINE WIRING CLAMP, FORWARD I/B, NOT ATTACHED.",orig
316,"OIL SEEP, RIGHT ENGINE TACH GEN",orig
317,#1 - 3 O/B BAFFLE TIE WORN THRU AFT BAFFLE.,orig
318,#2 OIL DRAIN TUBE CHAFING ON BAFFLE.,orig
319,#2 FORWARD BAFFLE CRACKED BEYOND STOP DRILL.,orig
320,REAR BAFFLE BRACKET AT ENGINE CENTER BROKEN AT BOLT.,orig
321,"FAILED OVERRIDE SPEED CHECK, RPM DROPPED TO 800 RPM & STABIL",orig
322,ENGINE RPM WAS 1700.,orig
323,#3 CYLINDER RIGHT ENGINE SHOWS NO EXHAUST GAS TEMPERATURE .,orig
324,BAFFLE SPARK PLUG ACCESS PLUG WORN.,orig
325,#4 INTAKE TUBE LOOSE.,orig
326,ALTERANATE AIR DOOR IS WORN.,orig
327,RIGHT AFT BAFFLE IS CRACKED BY ENGINE MOUNT BOLT HOLE.,orig
328,CENTER TOP BAFFLE BRACKET IS CRACKED.,orig
329,"STARTER WOULD TURN TWICE, THEN CUT OFF DURING START UP.",orig
330,"DURING GO AROUND FROM A SIMULATED ENGINE FAILURE, ENGINE RAN ROUGH",orig
331,"LEFT ENGINE, FIRST STAGE COMPRESSOR ROTOR HAS 1",orig
332,ENGINE OVERSPEED TO 2730 RPM FOR 1 SECOND.,orig
333,HIGH PITCHED SQUEALING NOISE HEARD DURING FLIGHT. ,orig
334,LOW POWER AVAILABLE. HELO REQUIRED LMP TO HOVER,orig
335,BAFFLE BUTTON PLUG IS WORN.,orig
336,FORWARD BOTTOM ENGINE BAFFLE SEAL HAS HOLES IN IT.,orig
337,ENGINE DIED AFTER LANDING.,orig
338,ENGINE HAD MOMENTARY OVERSPEED TO 2770 RPM.,orig
339,RIGHT BAFFLE SAFETY WIRE BROKEN.,orig
340,LEFT BAFFLE BUTTON PLUG IS BROKEN.,orig
341,CASE HALVES LEAKING ON BOTTOM FORWARD PORTION.,orig
342,LEFT I/B BAFFLE SPRING IS BRKOEN.,orig
343,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",orig
344,LEFT BAFFLE PLUG LOCK TABS MISSING.,orig
345,"CLIMBING AFTER TAKEOFF, ENGINE CHOKED & BACK FIRED.",orig
346,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.,orig
347,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,orig
348,BOLT MISSING FROM #4 CYLINDER HEAD.,orig
349,RIGHT ENGINE REACHED 2770 RPM ON TAKE OFF.,orig
350,CRACK IN FORWARD BAFFLE CENTER.,orig
